By Year,TEAM,GP,MIN,%FGA,%FGA.1,%PTS,%PTS.1,%PTS.2,%PTS.3,%PTS.4,%PTS.5,%PTS.6,2FGM,2FGM.1,3FGM,3FGM.1,FGM,FGM.1,player_name,player_id
2024-25,LAL,31,34.8,47.7,52.3,38.2,3.5,43.5,12.9,18.3,10.8,34.6,50.9,49.1,78.0,22.0,62.6,37.4,Austin Reaves,61
2023-24,LAL,82,32.1,55.3,44.7,46.6,7.7,35.5,14.8,17.9,12.2,38.9,40.9,59.1,67.5,32.5,49.9,50.1,Austin Reaves,61
2022-23,LAL,64,28.8,55.9,44.1,41.5,5.8,31.0,17.3,27.5,14.3,35.8,40.5,59.5,86.0,14.0,55.6,44.4,Austin Reaves,61
2021-22,LAL,61,23.2,47.5,52.5,41.9,5.0,35.8,14.4,22.3,20.5,36.9,55.9,44.1,98.1,1.9,71.2,28.8,Austin Reaves,61
2024-25,MIA,35,34.4,81.1,18.9,67.6,8.8,13.2,3.5,19.2,11.6,58.8,56.8,43.2,76.0,24.0,59.0,41.0,Bam Adebayo,79
2023-24,MIA,71,34.0,95.9,4.1,75.3,9.5,3.3,8.3,21.4,12.7,65.8,57.3,42.7,100.0,0.0,58.5,41.5,Bam Adebayo,79
2022-23,MIA,75,34.6,98.9,1.1,78.6,6.8,0.2,10.0,21.2,16.2,71.8,60.1,39.9,100.0,0.0,60.1,39.9,Bam Adebayo,79
2021-22,MIA,56,32.6,99.2,0.8,76.0,7.9,0.0,11.3,24.0,15.5,68.2,60.8,39.2,0.0,0.0,60.8,39.2,Bam Adebayo,79
2020-21,MIA,64,33.5,99.0,1.0,75.9,12.0,0.5,6.3,23.6,15.0,63.8,65.6,34.4,100.0,0.0,65.8,34.2,Bam Adebayo,79
2019-20,MIA,72,33.6,98.2,1.8,76.4,3.7,0.5,6.3,23.1,11.9,72.8,71.5,28.5,50.0,50.0,71.4,28.6,Bam Adebayo,79
2018-19,MIA,82,23.3,96.9,3.1,76.0,4.4,1.2,10.0,22.8,17.4,71.6,70.0,30.0,66.7,33.3,70.0,30.0,Bam Adebayo,79
2017-18,MIA,69,19.8,97.9,2.1,73.0,4.6,0.0,7.8,27.0,12.2,68.3,70.1,29.9,0.0,0.0,70.1,29.9,Bam Adebayo,79
2024-25,IND,37,33.0,67.6,32.4,51.2,6.2,26.7,24.5,22.1,17.3,45.1,58.2,41.8,72.7,27.3,62.0,38.0,Bennedict Mathurin,74
2023-24,IND,59,26.1,67.7,32.3,50.5,8.2,28.0,15.9,21.5,17.2,42.3,58.3,41.7,75.0,25.0,62.8,37.2,Bennedict Mathurin,74
2022-23,IND,78,28.5,67.4,32.6,48.1,5.2,23.0,21.3,28.9,15.8,42.9,60.1,39.9,74.0,26.0,63.4,36.6,Bennedict Mathurin,74
2024-25,PHX,25,33.1,61.8,38.2,54.5,11.7,36.5,13.5,9.0,16.7,42.8,54.5,45.5,85.2,14.8,64.0,36.0,Bradley Beal,66
2023-24,PHX,53,33.3,68.0,32.0,57.3,12.9,31.4,9.9,11.3,17.7,44.4,44.2,55.8,86.1,13.9,55.4,44.6,Bradley Beal,66
2022-23,WAS,50,33.5,75.1,24.9,62.8,17.2,20.7,6.4,16.5,10.3,45.5,40.1,59.9,71.3,28.8,45.7,54.3,Bradley Beal,66
2021-22,WAS,40,36.0,72.8,27.2,61.4,17.0,20.4,9.1,18.2,12.8,44.4,36.5,63.5,60.3,39.7,40.8,59.2,Bradley Beal,66
2020-21,WAS,60,35.8,73.0,27.0,57.5,16.8,20.8,7.1,21.7,13.5,40.7,43.0,57.0,72.3,27.7,48.7,51.3,Bradley Beal,66
2019-20,WAS,57,36.0,63.1,36.9,48.6,12.9,29.3,11.0,22.1,14.2,35.7,37.6,62.4,63.5,36.5,45.0,55.0,Bradley Beal,66
2018-19,WAS,82,36.9,63.0,37.0,52.9,14.0,29.9,13.7,17.2,14.2,38.9,42.5,57.5,71.8,28.2,50.5,49.5,Bradley Beal,66
2017-18,WAS,82,36.3,64.3,35.7,52.1,20.0,32.1,10.9,15.8,16.9,32.1,35.5,64.5,78.4,21.6,48.0,52.0,Bradley Beal,66
2016-17,WAS,77,34.9,58.2,41.8,46.5,15.2,37.6,15.1,15.9,14.7,31.4,48.6,51.4,80.7,19.3,59.8,40.2,Bradley Beal,66
2015-16,WAS,55,31.1,66.1,33.9,53.0,16.9,32.9,16.3,14.1,14.4,36.1,42.9,57.1,80.0,20.0,53.8,46.2,Bradley Beal,66
2014-15,WAS,63,33.5,69.6,30.4,53.4,22.2,33.1,20.1,13.5,16.3,31.2,55.3,44.7,85.8,14.2,64.2,35.8,Bradley Beal,66
2013-14,WAS,73,34.7,70.1,29.9,54.9,30.9,33.1,18.3,12.0,17.3,24.0,51.3,48.7,94.2,5.8,63.6,36.4,Bradley Beal,66
2012-13,WAS,56,31.2,65.6,34.4,49.0,24.9,35.0,22.1,16.0,16.7,24.1,64.4,35.6,94.5,5.5,74.1,25.9,Bradley Beal,66
2024-25,NOP,18,33.1,65.5,34.5,56.0,23.0,32.3,9.8,11.7,9.3,33.0,40.2,59.8,83.7,16.3,52.3,47.7,Brandon Ingram,31
2023-24,NOP,64,32.9,76.2,23.8,62.2,25.2,19.4,7.8,18.4,13.5,36.9,41.5,58.5,77.9,22.1,47.8,52.2,Brandon Ingram,31
2022-23,NOP,45,34.2,80.4,19.6,61.2,23.6,17.3,9.7,21.5,15.0,37.6,38.5,61.5,81.3,18.8,45.3,54.7,Brandon Ingram,31
2021-22,NOP,55,34.0,77.0,23.0,60.8,30.5,17.8,8.4,21.4,13.3,30.3,40.1,59.9,89.2,10.8,48.1,51.9,Brandon Ingram,31
2020-21,NOP,61,34.3,65.9,34.1,51.0,23.4,29.6,8.3,19.4,10.9,27.6,36.8,63.2,79.0,21.0,48.5,51.5,Brandon Ingram,31
2019-20,NOP,62,33.9,65.0,35.0,48.3,14.1,30.5,13.4,21.2,13.1,34.3,31.7,68.3,88.7,11.3,48.5,51.5,Brandon Ingram,31
2018-19,LAL,52,33.9,87.1,12.9,69.7,14.7,9.8,17.7,20.5,11.6,54.9,36.3,63.7,90.3,9.7,40.9,59.1,Brandon Ingram,31
2017-18,LAL,59,33.5,86.2,13.8,66.8,19.2,13.0,15.3,20.2,15.0,47.6,36.3,63.7,95.1,4.9,43.0,57.0,Brandon Ingram,31
2016-17,LAL,79,28.9,72.7,27.3,59.7,18.4,22.3,10.8,18.0,18.4,41.4,36.2,63.8,98.2,1.8,48.6,51.4,Brandon Ingram,31
2024-25,CHA,25,34.3,39.8,60.2,32.5,4.2,55.6,14.6,11.9,12.5,28.4,52.3,47.7,80.6,19.4,67.4,32.6,Brandon M,37
2023-24,CHA,74,32.2,54.5,45.5,45.7,14.1,43.2,15.2,11.1,13.8,31.6,49.3,50.7,90.8,9.2,65.3,34.7,Brandon M,37
2024-25,DET,29,35.9,66.8,33.2,54.2,8.7,30.9,8.4,14.9,13.6,45.5,22.5,77.5,59.2,40.8,32.6,67.4,Cade Cunningham,24
2023-24,DET,62,33.5,71.3,28.7,57.7,17.2,25.4,8.5,16.9,10.4,40.4,26.2,73.8,70.6,29.4,36.3,63.7,Cade Cunningham,24
2022-23,DET,12,33.3,72.8,27.2,63.6,22.6,21.3,5.9,15.1,12.6,41.0,15.8,84.2,58.8,41.2,23.7,76.3,Cade Cunningham,24
2021-22,DET,64,32.6,64.8,35.2,56.6,10.2,30.7,6.6,12.7,14.5,46.3,23.5,76.5,71.1,28.9,36.1,63.9,Cade Cunningham,24
2024-25,BKN,32,32.6,41.4,58.6,31.7,5.1,50.5,16.3,17.8,20.0,26.6,57.6,42.4,90.5,9.5,74.5,25.5,Cameron Johnson,51
2023-24,BKN,58,27.6,43.0,57.0,35.6,5.7,53.4,15.7,11.0,14.0,29.9,60.1,39.9,95.7,4.3,77.9,22.1,Cameron Johnson,51
2022-23,TOT,42,28.6,46.2,53.8,36.9,9.2,47.5,14.5,15.6,18.6,27.7,60.0,40.0,97.1,2.9,77.1,22.9,Cameron Johnson,51
