By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp.1,Opp.2,Opp.3,BLK,BLKA,PF,PFD,player_name,player_id
2019-20,LAL,62,34.4,4.1,3.4,3.2,12.6,12.8,8.3,12.6,33.0,2.3,0.7,2.5,6.5,Anthony Edwards,16
2018-19,NOP,56,33.0,4.4,4.8,2.8,14.3,11.7,8.7,10.6,33.8,2.4,0.7,2.4,6.6,Anthony Edwards,16
2017-18,NOP,75,36.4,4.2,4.5,3.6,15.4,12.2,10.6,10.9,34.8,2.6,0.6,2.1,7.4,Anthony Edwards,16
2016-17,NOP,75,36.1,3.5,3.8,2.2,12.9,12.0,8.8,9.6,31.9,2.2,0.7,2.2,6.9,Anthony Edwards,16
2015-16,NOP,61,35.5,3.3,3.2,2.2,11.0,10.7,8.4,9.0,31.7,2.0,0.9,2.4,5.9,Anthony Edwards,16
2014-15,NOP,68,36.1,3.6,3.6,2.6,12.0,10.6,9.2,9.7,34.7,2.9,0.8,2.1,5.5,Anthony Edwards,16
2013-14,NOP,67,35.2,3.6,4.1,2.9,11.2,11.6,9.7,9.4,32.5,2.8,1.0,3.0,5.4,Anthony Edwards,16
2012-13,NOH,64,28.8,2.6,3.0,1.7,8.9,10.6,7.4,8.6,26.8,1.8,0.7,2.5,3.2,Anthony Edwards,16
2024-25,LAL,31,34.8,2.0,1.5,2.4,6.3,12.1,11.2,13.0,38.3,0.1,0.5,2.1,4.2,Austin Reaves,61
2023-24,LAL,82,32.1,1.9,0.8,2.3,6.2,11.1,9.4,10.9,34.0,0.3,0.6,1.9,3.0,Austin Reaves,61
2022-23,LAL,64,28.8,1.9,1.1,2.3,4.7,10.1,8.3,9.3,31.1,0.3,0.3,1.7,3.7,Austin Reaves,61
2021-22,LAL,61,23.2,1.5,0.6,1.0,2.7,7.1,6.2,7.1,24.1,0.3,0.2,1.4,2.2,Austin Reaves,61
2024-25,MIA,35,34.4,1.9,2.3,0.6,9.5,10.5,8.8,9.6,33.3,0.8,0.7,2.1,4.0,Bam Adebayo,79
2023-24,MIA,71,34.0,2.5,2.6,1.6,12.7,10.5,9.5,9.4,31.9,0.9,0.6,2.2,4.8,Bam Adebayo,79
2022-23,MIA,75,34.6,3.3,2.4,2.0,14.6,10.6,8.3,8.6,32.9,0.8,0.7,2.8,4.8,Bam Adebayo,79
2021-22,MIA,56,32.6,3.0,2.5,2.2,13.0,10.4,7.5,7.9,28.0,0.8,0.7,3.1,5.4,Bam Adebayo,79
2020-21,MIA,64,33.5,2.8,2.5,1.2,11.9,11.6,8.0,7.2,29.1,1.0,0.6,2.3,5.3,Bam Adebayo,79
2019-20,MIA,72,33.6,1.9,2.2,1.0,11.6,11.7,8.4,7.4,30.2,1.3,0.8,2.5,4.5,Bam Adebayo,79
2018-19,MIA,82,23.3,1.5,2.0,0.9,6.4,8.3,6.2,5.5,20.3,0.8,0.4,2.5,2.8,Bam Adebayo,79
2017-18,MIA,69,19.8,0.8,1.4,0.5,4.7,6.9,4.6,4.4,17.7,0.6,0.4,2.0,2.5,Bam Adebayo,79
2024-25,IND,37,33.0,2.9,1.4,4.1,7.5,11.3,9.5,8.5,33.3,0.4,0.9,2.7,3.1,Bennedict Mathurin,74
2023-24,IND,59,26.1,2.5,1.5,2.3,6.1,9.9,9.0,7.7,33.4,0.2,1.3,2.0,2.8,Bennedict Mathurin,74
2022-23,IND,78,28.5,2.6,1.9,3.6,7.2,11.3,9.3,8.7,32.2,0.2,1.1,2.1,3.9,Bennedict Mathurin,74
2024-25,NOP,18,33.1,2.1,3.7,2.2,7.3,13.6,10.8,15.0,36.3,0.6,1.2,2.5,3.7,Brandon Ingram,31
2023-24,NOP,64,32.9,2.8,1.4,1.6,7.7,10.8,8.7,9.5,32.2,0.6,0.7,2.3,3.8,Brandon Ingram,31
2022-23,NOP,45,34.2,3.7,2.2,2.4,9.3,12.7,9.8,9.4,34.0,0.4,0.8,2.6,4.9,Brandon Ingram,31
2021-22,NOP,55,34.0,3.0,1.6,1.9,6.9,11.0,8.6,7.6,32.5,0.5,0.8,2.2,4.8,Brandon Ingram,31
2020-21,NOP,61,34.3,2.6,2.0,2.0,6.6,12.9,8.8,9.1,33.1,0.6,0.9,2.0,4.2,Brandon Ingram,31
2019-20,NOP,62,33.9,3.1,2.2,3.2,8.2,13.7,9.6,11.8,36.5,0.6,0.8,2.9,5.0,Brandon Ingram,31
2018-19,LAL,52,33.9,2.1,1.4,3.2,10.0,13.1,9.9,12.5,36.2,0.6,1.0,2.9,5.1,Brandon Ingram,31
2017-18,LAL,59,33.5,2.4,1.9,2.5,7.7,13.1,9.4,8.6,33.5,0.7,1.0,2.8,4.0,Brandon Ingram,31
2016-17,LAL,79,28.9,1.7,1.1,1.0,3.9,10.6,8.4,9.7,29.1,0.5,0.6,2.0,2.4,Brandon Ingram,31
2024-25,CHA,25,34.3,2.6,3.4,3.1,6.0,13.3,8.6,9.2,33.3,0.8,0.7,2.7,2.6,Brandon M,37
2023-24,CHA,74,32.2,2.4,1.2,2.6,5.5,11.5,9.5,8.8,36.6,0.6,0.6,2.5,2.6,Brandon M,37
2024-25,DET,29,35.9,3.2,1.8,2.0,10.8,14.8,9.8,12.0,33.7,0.9,1.3,2.8,3.6,Cade Cunningham,24
2023-24,DET,62,33.5,2.4,1.1,1.9,9.2,14.0,9.0,9.5,37.1,0.4,1.5,2.5,3.1,Cade Cunningham,24
2022-23,DET,12,33.3,2.5,1.4,1.2,8.2,12.5,10.8,10.1,40.3,0.6,1.9,2.8,3.1,Cade Cunningham,24
2021-22,DET,64,32.6,2.5,1.3,1.2,8.1,11.4,8.4,6.7,33.2,0.7,1.2,3.1,2.4,Cade Cunningham,24
2024-25,BKN,32,32.6,3.9,1.8,3.2,5.2,13.7,9.8,10.8,32.6,0.4,0.7,1.8,2.8,Cameron Johnson,51
2023-24,BKN,58,27.6,1.9,1.2,2.1,4.0,7.9,8.2,8.7,27.4,0.3,0.6,1.8,1.6,Cameron Johnson,51
2022-23,TOT,42,28.6,2.9,1.9,2.2,4.3,9.2,8.3,8.0,30.0,0.3,0.6,2.0,2.2,Cameron Johnson,51
2022-23,BKN,25,30.8,2.8,2.1,2.3,4.8,9.9,8.2,8.4,33.9,0.3,0.8,2.2,2.6,Cameron Johnson,51
2022-23,PHX,17,25.3,3.1,1.7,2.1,3.5,8.1,8.4,7.5,24.1,0.4,0.4,1.7,1.5,Cameron Johnson,51
2021-22,PHX,66,26.2,2.1,1.3,1.9,3.2,8.6,7.2,5.7,25.1,0.2,0.4,1.7,1.6,Cameron Johnson,51
2020-21,PHX,60,24.0,1.4,1.0,1.6,2.3,6.7,5.3,5.2,22.3,0.3,0.3,1.4,1.2,Cameron Johnson,51
2019-20,PHX,57,22.0,1.6,1.0,1.8,2.0,7.6,5.7,5.7,22.4,0.4,0.3,1.5,1.0,Cameron Johnson,51
2024-25,BKN,18,32.9,3.7,1.3,1.4,6.8,11.7,10.4,11.0,35.2,0.1,1.3,1.9,4.9,Cam Thomas,18
