Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 24, 2020 - MIA vs. LAC",L,38:12:00,18,6,10,60,0,0,0,6,7,85.7,3,5,8,9,0,1,4,1,14,
"Jan 22, 2020 - MIA vs. WAS",W,34:25:00,6,3,8,37.5,0,0,0,0,1,0,1,7,8,2,0,1,4,2,-4,
"Jan 20, 2020 - MIA vs. SAC",W,39:40:00,16,6,9,66.7,0,0,0,4,6,66.7,4,7,11,5,1,1,5,4,13,
"Jan 19, 2020 - MIA @ SAS",L,36:11:00,21,8,13,61.5,0,1,0,5,5,100,4,12,16,6,2,0,2,0,12,
"Jan 17, 2020 - MIA @ OKC",W,32:07:00,21,7,11,63.6,0,0,0,7,10,70,1,7,8,5,0,1,3,2,-1,
"Jan 15, 2020 - MIA vs. SAS",W,35:57:00,14,6,15,40,0,0,0,2,4,50,4,9,13,7,0,2,0,0,0,
"Jan 12, 2020 - MIA @ NYK",L,37:15:00,15,5,7,71.4,0,0,0,5,6,83.3,2,4,6,5,0,0,5,4,-2,
"Jan 10, 2020 - MIA @ BKN",L,32:55:00,22,10,13,76.9,0,0,0,2,2,100,2,4,6,7,2,1,1,2,-16,
"Jan 08, 2020 - MIA @ IND",W,28:47:00,18,8,11,72.7,0,0,0,2,3,66.7,0,9,9,4,0,1,0,1,31,
"Jan 05, 2020 - MIA vs. POR",W,35:32:00,20,9,10,90,0,0,0,2,6,33.3,4,4,8,6,1,1,3,3,9,
"Jan 03, 2020 - MIA @ ORL",L,34:48:00,14,5,8,62.5,0,0,0,4,5,80,5,5,10,1,1,2,2,1,-5,
"Jan 02, 2020 - MIA vs. TOR",W,35:27:00,15,7,8,87.5,0,0,0,1,2,50,2,12,14,2,0,1,4,4,9,
"Dec 30, 2019 - MIA @ WAS",L,35:46:00,14,6,11,54.5,0,0,0,2,3,66.7,3,11,14,5,0,0,6,4,-23,
"Dec 28, 2019 - MIA vs. PHI",W,39:38:00,11,5,14,35.7,0,0,0,1,2,50,0,3,3,2,1,1,0,3,-7,
"Dec 27, 2019 - MIA vs. IND",W,35:59:00,18,8,10,80,0,0,0,2,2,100,6,9,15,6,0,0,1,0,2,
"Dec 23, 2019 - MIA vs. UTA",W,38:06:00,18,5,14,35.7,0,0,0,8,10,80,5,8,13,6,3,3,2,2,-6,
"Dec 20, 2019 - MIA vs. NYK",W,30:03:00,20,6,9,66.7,0,0,0,8,8,100,1,7,8,3,1,0,4,2,22,
"Dec 18, 2019 - MIA @ PHI",W,33:34:00,23,9,16,56.3,0,0,0,5,6,83.3,3,6,9,5,2,2,3,2,2,
"Dec 16, 2019 - MIA @ MEM",L,43:27:00,14,4,12,33.3,0,1,0,6,8,75,0,13,13,5,3,3,4,5,-3,
"Dec 14, 2019 - MIA @ DAL",W,37:30:00,18,7,12,58.3,0,0,0,4,7,57.1,2,9,11,10,2,2,1,4,15,
"Dec 13, 2019 - MIA vs. LAL",L,35:21:00,12,5,11,45.5,0,0,0,2,5,40,4,8,12,5,0,1,2,2,-8,
"Dec 10, 2019 - MIA vs. ATL",W,43:30:00,30,13,18,72.2,0,1,0,4,5,80,4,7,11,11,2,0,4,5,26,
"Dec 08, 2019 - MIA vs. CHI",W,40:55:00,21,7,9,77.8,0,1,0,7,9,77.8,4,9,13,6,3,1,7,4,9,
"Apr 10, 2019 - MIA @ BKN",L,18:19,10,4,7,57.1,1,2,50,1,1,100,0,6,6,0,1,0,2,0,-10,
"Apr 09, 2019 - MIA vs. PHI",W,22:28,19,8,11,72.7,0,0,0,3,5,60,1,8,9,2,1,2,0,0,16,
"Apr 07, 2019 - MIA @ TOR",L,31:10:00,7,2,7,28.6,0,0,0,3,4,75,3,10,13,2,1,0,3,3,-13,
"Apr 05, 2019 - MIA @ MIN",L,32:08:00,8,4,6,66.7,0,0,0,0,0,0,1,3,4,0,4,0,1,3,-7,
"Apr 03, 2019 - MIA vs. BOS",L,26:10:00,12,5,9,55.6,0,1,0,2,2,100,5,7,12,4,1,2,1,3,-5,
"Apr 01, 2019 - MIA @ BOS",L,30:40:00,19,8,12,66.7,1,1,100,2,2,100,4,10,14,2,0,2,0,3,-2,
"Mar 30, 2019 - MIA @ NYK",W,27:20:00,8,4,6,66.7,0,0,0,0,0,0,1,5,6,2,2,0,1,2,6,
"Mar 28, 2019 - MIA vs. DAL",W,29:23:00,11,5,9,55.6,0,0,0,1,2,50,3,13,16,3,0,0,2,2,9,
"Mar 26, 2019 - MIA vs. ORL",L,30:20:00,9,4,9,44.4,0,0,0,1,2,50,3,8,11,3,2,0,1,3,2,
"Mar 23, 2019 - MIA @ WAS",W,35:05:00,16,6,11,54.5,0,1,0,4,4,100,1,10,11,8,0,4,5,1,16,
"Mar 22, 2019 - MIA @ MIL",L,18:10,12,5,10,50,0,0,0,2,4,50,2,5,7,2,1,0,0,1,0,
"Mar 20, 2019 - MIA @ SAS",W,28:57:00,6,3,4,75,0,0,0,0,0,0,2,13,15,5,2,0,2,1,13,
"Mar 18, 2019 - MIA @ OKC",W,29:41:00,8,4,9,44.4,0,0,0,0,0,0,2,5,7,4,2,1,4,3,-11,
"Mar 17, 2019 - MIA vs. CHA",W,30:50:00,16,7,10,70,0,0,0,2,4,50,2,7,9,1,2,1,2,3,18,
