Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Apr 10, 2018 - UTA vs. GSW",W,28:21:00,13,5,7,71.4,0,0,0,3,4,75,1,3,4,2,0,2,1,2,36,
"Apr 08, 2018 - UTA @ LAL",W,25:48:00,4,2,5,40,0,0,0,0,2,0,1,5,6,2,2,1,3,4,2,
"Apr 05, 2018 - UTA vs. LAC",W,27:43:00,15,6,6,100,0,0,0,3,6,50,4,6,10,2,1,3,2,1,22,
"Apr 03, 2018 - UTA vs. LAL",W,36:24:00,12,5,10,50,0,0,0,2,5,40,4,12,16,5,2,3,5,3,17,
"Apr 01, 2018 - UTA @ MIN",W,32:16:00,6,2,3,66.7,0,0,0,2,4,50,1,12,13,1,0,4,3,1,22,
"Mar 30, 2018 - UTA vs. MEM",W,28:52:00,9,3,4,75,0,0,0,3,6,50,2,8,10,0,2,0,4,3,1,
"Mar 28, 2018 - UTA vs. BOS",L,39:53:00,10,3,5,60,0,0,0,4,6,66.7,3,8,11,2,1,2,4,1,-7,
"Mar 25, 2018 - UTA @ GSW",W,31:08:00,17,7,11,63.6,0,0,0,3,4,75,5,10,15,3,0,4,1,2,14,
"Mar 23, 2018 - UTA @ SAS",L,40:14:00,13,4,6,66.7,0,0,0,5,6,83.3,2,6,8,1,2,0,1,5,-10,
"Mar 22, 2018 - UTA @ DAL",W,35:44:00,11,3,4,75,0,0,0,5,5,100,2,5,7,2,2,5,0,3,-2,
"Mar 20, 2018 - UTA vs. ATL",L,35:25:00,15,7,10,70,0,0,0,1,2,50,6,10,16,0,0,2,4,5,-2,
"Mar 17, 2018 - UTA vs. SAC",W,39:16:00,22,7,8,87.5,0,0,0,8,10,80,3,10,13,0,0,4,1,2,19,
"Mar 15, 2018 - UTA vs. PHX",W,34:02:00,21,8,11,72.7,0,0,0,5,6,83.3,6,7,13,2,1,2,0,4,24,
"Mar 13, 2018 - UTA vs. DET",W,30:34:00,22,9,12,75,0,0,0,4,9,44.4,5,7,12,1,0,2,3,3,28,
"Mar 11, 2018 - UTA @ NOP",W,39:47:00,19,5,13,38.5,0,0,0,9,9,100,4,12,16,3,0,2,1,2,24,
"Mar 09, 2018 - UTA @ MEM",W,34:08:00,4,2,5,40,0,0,0,0,0,0,4,6,10,1,2,2,3,3,22,
"Mar 07, 2018 - UTA @ IND",W,38:46:00,23,10,14,71.4,0,0,0,3,4,75,3,11,14,0,1,1,2,3,15,
"Mar 05, 2018 - UTA vs. ORL",W,37:05:00,21,9,10,90,0,0,0,3,6,50,3,14,17,0,1,2,2,3,22,
"Mar 03, 2018 - UTA @ SAC",W,36:19:00,16,6,10,60,0,0,0,4,7,57.1,5,7,12,2,3,3,1,2,10,
"Mar 02, 2018 - UTA vs. MIN",W,35:55:00,26,7,9,77.8,0,0,0,12,14,85.7,3,13,16,1,1,4,1,3,10,
"Feb 26, 2018 - UTA vs. HOU",L,36:08:00,17,7,8,87.5,0,0,0,3,5,60,2,4,6,1,1,2,1,4,-9,
"Feb 24, 2018 - UTA vs. DAL",W,34:39:00,13,5,6,83.3,0,0,0,3,6,50,1,9,10,1,0,0,2,3,16,
"Feb 23, 2018 - UTA vs. POR",L,34:18:00,15,6,9,66.7,0,0,0,3,4,75,2,7,9,3,2,4,2,2,-10,
"Feb 14, 2018 - UTA vs. PHX",W,37:04:00,14,5,8,62.5,0,0,0,4,4,100,2,15,17,1,0,0,0,4,17,
"Feb 12, 2018 - UTA vs. SAS",W,31:10:00,10,4,9,44.4,0,0,0,2,5,40,4,8,12,2,1,2,2,2,4,
"Feb 11, 2018 - UTA @ POR",W,34:02:00,12,3,9,33.3,0,0,0,6,7,85.7,2,9,11,3,0,2,2,3,4,
"Feb 09, 2018 - UTA vs. CHA",W,32:49:00,20,7,8,87.5,0,0,0,6,8,75,3,8,11,3,0,2,0,1,8,
"Feb 07, 2018 - UTA @ MEM",W,37:44:00,8,1,5,20,0,0,0,6,8,75,3,9,12,2,0,2,4,5,-1,
"Feb 05, 2018 - UTA @ NOP",W,32:50:00,19,7,8,87.5,0,0,0,5,5,100,2,8,10,1,1,1,1,4,15,
"Feb 03, 2018 - UTA @ SAS",W,31:58:00,11,3,7,42.9,0,0,0,5,7,71.4,2,8,10,3,0,3,0,4,13,
"Feb 02, 2018 - UTA @ PHX",W,32:20:00,10,5,8,62.5,0,0,0,0,1,0,3,6,9,1,1,5,5,4,40,
"Jan 30, 2018 - UTA vs. GSW",W,27:47:00,9,4,7,57.1,0,0,0,1,2,50,3,3,6,1,3,1,0,1,26,
"Jan 26, 2018 - UTA @ TOR",W,31:18:00,18,7,13,53.8,0,0,0,4,5,80,5,10,15,3,1,2,3,1,2,
"Jan 24, 2018 - UTA @ DET",W,37:58:00,15,6,13,46.2,0,0,0,3,6,50,3,5,8,1,0,4,0,3,3,
"Jan 22, 2018 - UTA @ ATL",L,27:57:00,6,2,6,33.3,0,0,0,2,3,66.7,2,8,10,1,3,3,3,3,-8,
"Jan 20, 2018 - UTA vs. LAC",W,28:06:00,16,6,9,66.7,0,0,0,4,7,57.1,1,6,7,0,0,3,0,5,5,
