Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Jan 14, 2020 - MEM vs. HOU",W,36:53:00,26,10,11,90.9,3,4,75,3,3,100,0,5,5,8,1,1,2,1,16,
"Jan 12, 2020 - MEM vs. GSW",W,29:35:00,11,4,12,33.3,1,2,50,2,2,100,2,5,7,10,1,0,5,0,14,
"Jan 10, 2020 - MEM vs. SAS",W,33:35:00,22,11,20,55,0,2,0,0,0,0,2,5,7,14,2,0,2,1,21,
"Jan 07, 2020 - MEM vs. MIN",W,31:27:00,25,12,18,66.7,0,1,0,1,2,50,1,3,4,7,1,0,5,2,16,
"Jan 05, 2020 - MEM @ PHX",W,27:50:00,13,4,8,50,1,2,50,4,4,100,0,3,3,7,0,0,6,3,-8,
"Jan 04, 2020 - MEM @ LAC",W,29:35:00,22,7,10,70,1,4,25,7,8,87.5,0,4,4,9,1,0,2,2,2,
"Jan 02, 2020 - MEM @ SAC",L,32:37:00,23,8,13,61.5,2,3,66.7,5,6,83.3,0,1,1,7,0,0,7,1,-9,
"Dec 29, 2019 - MEM vs. CHA",W,28:22:00,6,2,8,25,0,1,0,2,2,100,0,3,3,7,0,0,2,2,20,
"Dec 28, 2019 - MEM @ DEN",L,30:26:00,16,6,11,54.5,1,1,100,3,5,60,0,3,3,8,0,1,3,2,-12,
"Dec 26, 2019 - MEM @ OKC",W,26:27:00,10,5,9,55.6,0,1,0,0,0,0,0,5,5,3,0,0,1,0,1,
"Dec 23, 2019 - MEM vs. SAS",L,30:25:00,19,7,14,50,1,3,33.3,4,5,80,0,3,3,4,1,0,2,1,-9,
"Dec 21, 2019 - MEM vs. SAC",W,30:09:00,13,4,13,30.8,0,3,0,5,6,83.3,1,0,1,4,0,2,5,3,-19,
"Dec 20, 2019 - MEM @ CLE",L,28:33:00,8,4,11,36.4,0,2,0,0,0,0,1,4,5,11,0,0,3,2,-3,
"Dec 18, 2019 - MEM @ OKC",L,32:56:00,22,9,16,56.3,1,1,100,3,5,60,0,5,5,7,0,0,1,3,14,
"Dec 16, 2019 - MEM vs. MIA",W,32:11:00,20,9,14,64.3,2,4,50,0,0,0,0,1,1,10,0,0,4,3,-4,
"Dec 14, 2019 - MEM vs. WAS",W,28:28:00,18,5,11,45.5,1,2,50,7,7,100,0,4,4,5,3,1,3,0,4,
"Dec 11, 2019 - MEM @ PHX",W,33:23:00,13,4,9,44.4,0,1,0,5,5,100,0,4,4,6,1,0,2,2,-6,
"Dec 09, 2019 - MEM @ GSW",W,29:27:00,26,8,14,57.1,3,5,60,7,8,87.5,0,2,2,7,1,0,2,1,0,
