Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Dec 07, 2018 - MIL vs. GSW",L,34,22,8,13,61.5,0,2,0,6,9,66.7,4,11,15,5,2,2,4,5,-3,
"Apr 11, 2018 - MIL @ PHI",L,22,10,5,14,35.7,0,1,0,0,0,0,1,9,10,3,0,0,5,2,-26,
"Apr 05, 2018 - MIL vs. BKN",L,36,19,7,21,33.3,0,3,0,5,5,100,0,10,10,7,4,1,1,2,-11,
"Apr 03, 2018 - MIL vs. BOS",W,36,29,11,22,50,0,3,0,7,8,87.5,1,10,11,6,1,2,5,3,-11,
"Apr 01, 2018 - MIL @ DEN",L,33,18,7,13,53.8,1,2,50,3,6,50,2,10,12,6,1,0,4,6,8,
"Mar 30, 2018 - MIL @ LAL",W,43,27,8,20,40,0,0,0,11,15,73.3,6,10,16,4,0,1,4,5,-16,
"Mar 29, 2018 - MIL @ GSW",W,35,32,14,18,77.8,2,3,66.7,2,2,100,1,3,4,5,2,0,1,3,23,
"Mar 27, 2018 - MIL @ LAC",L,40,26,10,16,62.5,1,2,50,5,9,55.6,2,7,9,7,0,5,4,0,-4,
"Mar 25, 2018 - MIL vs. SAS",W,38,25,9,16,56.3,3,4,75,4,5,80,2,8,10,3,1,0,3,3,6,
"Mar 21, 2018 - MIL vs. LAC",L,17,12,5,9,55.6,0,1,0,2,3,66.7,0,2,2,2,1,3,4,1,-5,
"Mar 19, 2018 - MIL @ CLE",L,39,37,13,20,65,0,2,0,11,11,100,3,8,11,5,1,0,2,4,-1,
"Mar 17, 2018 - MIL vs. ATL",W,39,33,12,25,48,2,6,33.3,7,8,87.5,4,8,12,7,4,2,2,5,2,
"Mar 14, 2018 - MIL @ ORL",L,40,38,16,29,55.2,1,3,33.3,5,5,100,1,9,10,7,3,0,2,4,10,
"Mar 12, 2018 - MIL @ MEM",W,28,20,7,14,50,1,3,33.3,5,7,71.4,1,5,6,4,0,1,6,5,3,
"Mar 09, 2018 - MIL vs. NYK",W,35,28,7,15,46.7,0,0,0,14,18,77.8,2,8,10,5,2,2,1,2,19,
"Mar 07, 2018 - MIL vs. HOU",L,38,30,12,20,60,0,0,0,6,9,66.7,2,5,7,1,1,2,6,4,-11,
"Mar 05, 2018 - MIL @ IND",L,37,18,7,16,43.8,0,2,0,4,5,80,2,10,12,2,2,5,2,1,2,
"Mar 04, 2018 - MIL vs. PHI",W,42,35,14,23,60.9,1,1,100,6,10,60,3,6,9,7,2,1,4,3,0,
"Mar 02, 2018 - MIL vs. IND",L,43,24,6,18,33.3,2,4,50,10,12,83.3,2,8,10,3,2,3,4,4,-10,
"Feb 28, 2018 - MIL @ DET",L,30,11,5,13,38.5,1,3,33.3,0,0,0,0,3,3,2,0,0,4,3,-13,
"Feb 27, 2018 - MIL vs. WAS",L,39,23,8,16,50,1,1,100,6,8,75,2,11,13,8,3,6,5,5,-1,
"Feb 25, 2018 - MIL vs. NOP",L,40,20,6,18,33.3,0,2,0,8,10,80,1,3,4,6,2,0,0,5,-3,
"Feb 23, 2018 - MIL @ TOR",W,45,26,11,22,50,0,1,0,4,4,100,3,9,12,6,2,1,3,2,10,
"Feb 15, 2018 - MIL vs. DEN",L,39,36,14,21,66.7,1,2,50,7,12,58.3,3,8,11,13,0,3,6,2,-3,
"Feb 13, 2018 - MIL vs. ATL",W,34,15,7,16,43.8,0,4,0,1,2,50,3,12,15,3,1,2,1,5,4,
"Feb 10, 2018 - MIL @ ORL",W,38,32,14,24,58.3,0,1,0,4,7,57.1,1,4,5,5,1,2,3,2,11,
"Feb 09, 2018 - MIL @ MIA",L,40,23,8,21,38.1,1,4,25,6,7,85.7,0,11,11,3,1,2,5,4,4,
"Feb 06, 2018 - MIL @ NYK",W,35,23,10,23,43.5,0,0,0,3,6,50,1,10,11,6,1,2,3,3,11,
"Feb 04, 2018 - MIL @ BKN",W,28,16,7,13,53.8,1,2,50,1,1,100,1,7,8,4,0,1,2,0,16,
"Feb 02, 2018 - MIL vs. NYK",W,37,29,10,21,47.6,1,3,33.3,8,12,66.7,0,11,11,2,3,2,2,2,3,
"Feb 01, 2018 - MIL @ MIN",L,36,17,6,14,42.9,0,1,0,5,9,55.6,1,13,14,6,0,0,5,2,-5,
"Jan 29, 2018 - MIL vs. PHI",W,36,31,10,22,45.5,1,5,20,10,10,100,3,15,18,6,0,1,4,4,15,
"Jan 28, 2018 - MIL @ CHI",W,35,27,11,19,57.9,0,0,0,5,10,50,3,6,9,8,1,1,4,2,8,
"Jan 26, 2018 - MIL vs. BKN",W,33,41,14,20,70,3,3,100,10,11,90.9,2,11,13,7,2,2,1,2,19,
"Jan 17, 2018 - MIL vs. MIA",L,38,22,6,15,40,2,3,66.7,8,15,53.3,2,8,10,6,2,2,1,3,-9,
"Jan 15, 2018 - MIL @ WAS",W,39,27,9,23,39.1,0,0,0,9,15,60,7,13,20,6,0,2,3,4,16,
"Jan 14, 2018 - MIL @ MIA",L,31,22,6,12,50,0,0,0,10,10,100,1,5,6,1,1,0,2,4,-20,
"Jan 12, 2018 - MIL vs. GSW",L,36,23,10,19,52.6,0,3,0,3,3,100,2,5,7,4,0,1,3,5,-15,
"Jan 10, 2018 - MIL vs. ORL",W,34,26,10,15,66.7,0,0,0,6,10,60,3,4,7,1,0,1,2,2,22,
"Jan 08, 2018 - MIL @ IND",L,32,17,3,8,37.5,0,1,0,11,14,78.6,1,6,7,3,2,1,4,1,-19,
"Jan 06, 2018 - MIL @ WAS",W,41,34,12,17,70.6,1,1,100,9,10,90,2,10,12,7,2,1,3,5,14,
"Jan 05, 2018 - MIL vs. TOR",L,34,24,9,14,64.3,0,0,0,6,9,66.7,1,4,5,5,2,0,2,1,-16,
"Jan 03, 2018 - MIL vs. IND",W,29,31,12,18,66.7,0,1,0,7,8,87.5,3,6,9,5,1,2,2,1,15,
"Jan 01, 2018 - MIL @ TOR",L,42,26,9,18,50,1,3,33.3,7,9,77.8,2,7,9,7,0,0,0,4,-6,
"Dec 29, 2017 - MIL @ OKC",W,40,23,10,16,62.5,0,0,0,3,4,75,6,6,12,6,1,1,5,0,1,
"Dec 28, 2017 - MIL vs. MIN",W,40,22,11,20,55,0,1,0,0,0,0,3,7,10,3,0,0,4,2,9,
"Dec 26, 2017 - MIL vs. CHI",L,37,28,11,17,64.7,1,4,25,5,6,83.3,1,6,7,4,1,1,4,3,2,
"Dec 22, 2017 - MIL vs. CHA",W,37,26,9,20,45,1,3,33.3,7,8,87.5,1,6,7,5,1,0,0,3,20,
"Dec 19, 2017 - MIL vs. CLE",W,40,27,8,14,57.1,0,0,0,11,12,91.7,1,12,13,8,2,0,3,1,3,
"Dec 16, 2017 - MIL @ HOU",L,42,28,10,22,45.5,0,3,0,8,10,80,2,7,9,5,4,0,3,2,-5,
"Dec 15, 2017 - MIL vs. CHI",L,40,29,11,18,61.1,1,3,33.3,6,9,66.7,5,11,16,4,0,1,1,1,1,
"Apr 10, 2017 - MIL vs. CHA",W,36,10,5,11,45.5,0,0,0,0,0,0,0,11,11,10,0,1,4,0,23,
"Apr 08, 2017 - MIL @ PHI",W,40,20,7,15,46.7,0,3,0,6,11,54.5,0,10,10,6,3,2,4,3,6,
"Apr 06, 2017 - MIL @ IND",L,35,25,7,14,50,0,1,0,11,13,84.6,2,5,7,6,0,1,3,2,-17,
"Apr 04, 2017 - MIL @ OKC",L,24,11,3,10,30,0,1,0,5,8,62.5,4,6,10,4,0,3,4,2,-24,
"Apr 02, 2017 - MIL vs. DAL",L,40,31,10,18,55.6,0,3,0,11,12,91.7,1,14,15,9,4,2,5,2,-2,
"Mar 31, 2017 - MIL vs. DET",W,45,28,7,16,43.8,0,1,0,14,21,66.7,2,12,14,9,1,2,4,3,9,
"Mar 29, 2017 - MIL @ BOS",W,33,22,8,17,47.1,2,4,50,4,7,57.1,4,5,9,3,3,3,2,1,-7,
"Mar 28, 2017 - MIL @ CHA",W,39,20,8,13,61.5,1,1,100,3,4,75,0,8,8,2,0,1,1,2,1,
"Mar 26, 2017 - MIL vs. CHI",L,37,22,8,14,57.1,0,2,0,6,10,60,0,8,8,4,0,0,3,1,-17,
"Mar 24, 2017 - MIL vs. ATL",W,36,34,13,22,59.1,1,3,33.3,7,9,77.8,4,9,13,5,2,3,1,2,-4,
"Mar 22, 2017 - MIL @ SAC",W,40,32,12,22,54.5,1,2,50,7,10,70,3,11,14,5,2,1,0,2,20,
"Mar 21, 2017 - MIL @ POR",W,36,22,8,21,38.1,0,1,0,6,7,85.7,1,7,8,3,0,2,1,4,5,
"Mar 18, 2017 - MIL @ GSW",L,31,9,4,14,28.6,0,1,0,1,2,50,1,2,3,3,2,3,2,2,-25,
"Mar 17, 2017 - MIL @ LAL",W,35,26,11,16,68.8,1,1,100,3,6,50,2,6,8,4,0,2,4,6,-5,
"Mar 15, 2017 - MIL @ LAC",W,28,16,5,10,50,0,0,0,6,9,66.7,0,5,5,5,0,1,2,4,-9,
"Mar 13, 2017 - MIL @ MEM",L,28,18,6,14,42.9,1,4,25,5,7,71.4,0,5,5,4,1,0,2,3,-7,
"Mar 11, 2017 - MIL vs. MIN",W,40,18,6,15,40,0,1,0,6,7,85.7,0,4,4,7,0,2,2,5,1,
"Mar 10, 2017 - MIL vs. IND",W,39,21,7,13,53.8,1,3,33.3,6,6,100,0,8,8,5,5,1,6,3,13,
"Mar 08, 2017 - MIL vs. NYK",W,41,32,11,21,52.4,0,1,0,10,13,76.9,6,7,13,7,4,2,1,2,10,
"Mar 06, 2017 - MIL @ PHI",W,35,24,7,13,53.8,1,2,50,9,12,75,1,7,8,5,2,3,0,1,14,
"Mar 04, 2017 - MIL vs. TOR",W,35,21,8,13,61.5,0,0,0,5,6,83.3,2,8,10,4,0,1,1,2,-8,
"Mar 03, 2017 - MIL vs. LAC",W,31,24,10,13,76.9,0,0,0,4,5,80,0,5,5,8,2,2,1,4,12,
"Mar 01, 2017 - MIL vs. DEN",L,34,15,5,13,38.5,0,1,0,5,6,83.3,2,7,9,4,0,3,6,3,-7,
"Feb 27, 2017 - MIL @ CLE",L,42,9,4,13,30.8,0,2,0,1,4,25,0,7,7,8,0,1,3,3,-12,
"Feb 26, 2017 - MIL vs. PHX",W,36,28,11,13,84.6,0,0,0,6,7,85.7,1,7,8,6,1,2,4,3,5,
"Feb 24, 2017 - MIL vs. UTA",L,34,33,10,16,62.5,2,4,50,11,15,73.3,4,8,12,3,4,1,6,4,-4,
"Feb 15, 2017 - MIL @ BKN",W,40,33,13,25,52,0,1,0,7,10,70,2,7,9,3,4,1,0,2,7,
"Feb 13, 2017 - MIL vs. DET",W,37,8,2,9,22.2,0,2,0,4,4,100,0,4,4,6,1,1,1,2,8,
"Feb 11, 2017 - MIL @ IND",W,34,20,4,9,44.4,0,1,0,12,14,85.7,2,6,8,10,1,2,2,5,12,
"Feb 10, 2017 - MIL vs. LAL",L,42,41,11,20,55,1,6,16.7,18,21,85.7,1,7,8,6,2,3,5,3,-8,
"Feb 08, 2017 - MIL vs. MIA",L,36,22,9,15,60,2,3,66.7,2,2,100,2,6,8,1,2,1,4,1,-18,
"Feb 04, 2017 - MIL @ PHX",W,34,30,12,20,60,0,3,0,6,9,66.7,2,10,12,6,0,4,4,4,34,
"Feb 03, 2017 - MIL @ DEN",L,35,23,9,13,69.2,1,3,33.3,4,4,100,0,8,8,5,2,2,5,5,-12,
"Feb 01, 2017 - MIL @ UTA",L,39,9,2,10,20,0,2,0,5,6,83.3,2,4,6,4,1,0,3,3,-20,
"Jan 28, 2017 - MIL vs. BOS",L,45,21,8,16,50,2,3,66.7,3,4,75,0,7,7,6,0,1,2,2,1,
"Jan 27, 2017 - MIL @ TOR",L,33,19,7,15,46.7,0,0,0,5,8,62.5,0,6,6,8,1,3,3,5,-8,
"Jan 25, 2017 - MIL vs. PHI",L,39,17,7,19,36.8,0,7,0,3,3,100,6,6,12,5,4,0,2,0,-15,
"Jan 23, 2017 - MIL vs. HOU",W,36,31,11,17,64.7,2,3,66.7,7,8,87.5,3,4,7,3,1,4,5,3,12,
"Jan 21, 2017 - MIL @ MIA",L,38,24,8,20,40,2,5,40,6,8,75,4,6,10,3,2,0,2,2,-7,
"Jan 20, 2017 - MIL @ ORL",L,36,17,6,17,35.3,1,4,25,4,4,100,2,12,14,6,1,0,4,6,-9,
"Jan 18, 2017 - MIL @ HOU",L,37,32,13,20,65,1,4,25,5,6,83.3,1,10,11,6,1,3,4,3,-11,
"Jan 16, 2017 - MIL vs. PHI",L,29,23,10,19,52.6,0,1,0,3,5,60,2,4,6,2,2,3,3,6,0,
"Jan 15, 2017 - MIL @ ATL",L,40,33,13,22,59.1,0,2,0,7,7,100,5,2,7,6,2,3,4,4,-9,
"Jan 13, 2017 - MIL vs. MIA",W,36,19,8,12,66.7,0,0,0,3,4,75,1,7,8,6,1,1,3,2,3,
"Jan 10, 2017 - MIL @ SAS",W,9,0,0,3,0,0,1,0,0,0,0,0,2,2,2,0,1,1,1,-15,
"Jan 06, 2017 - MIL vs. NYK",L,38,25,9,21,42.9,2,5,40,5,6,83.3,2,3,5,2,2,6,5,4,-2,
"Jan 04, 2017 - MIL @ NYK",W,39,27,10,18,55.6,1,4,25,6,7,85.7,1,12,13,4,1,3,3,2,-11,
"Jan 02, 2017 - MIL vs. OKC",W,41,26,10,19,52.6,1,3,33.3,5,10,50,2,8,10,5,1,1,1,0,8,
"Dec 31, 2016 - MIL @ CHI",W,41,35,13,19,68.4,1,1,100,8,11,72.7,3,6,9,8,2,7,4,2,16,
"Dec 30, 2016 - MIL @ MIN",L,32,25,11,14,78.6,0,0,0,3,4,75,2,4,6,5,1,1,3,3,-18,
"Apr 13, 2016 - MIL vs. IND",L,29,19,7,14,50,1,5,20,4,4,100,2,7,9,5,0,1,4,2,-1,
"Apr 11, 2016 - MIL @ ORL",L,37,11,5,7,71.4,1,2,50,0,2,0,2,7,9,3,1,3,5,5,-14,
"Apr 10, 2016 - MIL @ PHI",W,40,14,4,15,26.7,1,4,25,5,6,83.3,1,8,9,7,3,5,3,0,-2,
"Apr 08, 2016 - MIL @ BOS",L,27,27,8,12,66.7,4,5,80,7,8,87.5,0,7,7,7,1,1,5,5,-10,
"Apr 05, 2016 - MIL vs. CLE",L,39,22,10,18,55.6,2,4,50,0,0,0,3,11,14,8,1,0,3,3,-25,
"Apr 03, 2016 - MIL vs. CHI",L,43,34,14,22,63.6,1,1,100,5,7,71.4,0,5,5,9,1,1,4,4,4,
"Apr 01, 2016 - MIL vs. ORL",W,39,18,5,13,38.5,0,1,0,8,11,72.7,2,9,11,11,2,3,4,1,8,
"Mar 30, 2016 - MIL vs. PHX",W,32,10,3,5,60,1,1,100,3,8,37.5,1,2,3,6,0,1,2,4,19,
"Mar 26, 2016 - MIL vs. CHA",L,26,8,3,9,33.3,0,2,0,2,2,100,0,3,3,1,2,0,0,3,-22,
