Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Mar 08, 2019 - NOP vs. TOR",L,32:21:00,18,6,15,40,0,4,0,6,7,85.7,3,6,9,7,0,0,4,2,-19,
"Mar 06, 2019 - NOP vs. UTA",L,35:22:00,23,9,18,50,1,3,33.3,4,6,66.7,0,6,6,3,0,1,5,5,-4,
"Mar 04, 2019 - NOP @ UTA",W,38:49:00,30,10,23,43.5,0,2,0,10,12,83.3,1,7,8,5,2,1,0,4,17,
"Mar 02, 2019 - NOP @ DEN",W,37:55:00,28,10,20,50,3,6,50,5,10,50,4,6,10,4,1,1,2,4,10,
"Mar 01, 2019 - NOP @ PHX",W,27:51:00,22,8,14,57.1,1,3,33.3,5,7,71.4,1,2,3,3,0,0,2,2,7,
"Feb 27, 2019 - NOP @ LAL",L,39:47:00,35,11,22,50,2,7,28.6,11,12,91.7,1,5,6,3,1,1,2,4,-10,
"Feb 25, 2019 - NOP vs. PHI",L,34:13:00,19,6,18,33.3,0,1,0,7,9,77.8,6,8,14,1,3,2,0,4,1,
"Feb 23, 2019 - NOP vs. LAL",W,38:02:00,24,9,17,52.9,2,7,28.6,4,6,66.7,1,2,3,5,1,0,4,2,2,
"Feb 22, 2019 - NOP @ IND",L,25:22:00,15,5,11,45.5,3,5,60,2,3,66.7,0,4,4,2,1,0,5,4,-11,
"Feb 14, 2019 - NOP vs. OKC",W,38:54:00,33,11,21,52.4,2,3,66.7,9,12,75,4,7,11,6,1,1,4,3,19,
"Feb 12, 2019 - NOP vs. ORL",L,21:44,15,6,11,54.5,3,5,60,0,0,0,0,4,4,4,0,2,3,2,-21,
"Feb 09, 2019 - NOP @ MEM",L,30:47:00,21,7,13,53.8,0,3,0,7,11,63.6,3,3,6,2,1,1,4,4,-18,
"Feb 08, 2019 - NOP vs. MIN",W,24:00:00,12,4,11,36.4,0,3,0,4,4,100,1,7,8,1,3,1,3,4,-15,
"Feb 06, 2019 - NOP @ CHI",W,30:32:00,31,10,18,55.6,4,6,66.7,7,9,77.8,3,4,7,3,0,0,2,2,12,
