Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Mar 04, 2019 - SAS vs. DEN",W,18:21,6,3,4,75,0,0,0,0,0,0,1,2,3,1,1,0,0,2,8,
"Mar 02, 2019 - SAS vs. OKC",W,26:03:00,5,2,5,40,0,0,0,1,2,50,6,1,7,1,2,3,1,4,14,
"Feb 27, 2019 - SAS vs. DET",W,34:04:00,11,4,6,66.7,0,0,0,3,5,60,2,12,14,1,0,3,0,2,4,
"Feb 25, 2019 - SAS @ BKN",L,11:26,0,0,7,0,0,0,0,0,0,0,5,2,7,0,1,1,0,1,-6,
"Feb 24, 2019 - SAS @ NYK",L,19:42,12,6,7,85.7,0,0,0,0,1,0,6,3,9,2,0,0,1,1,-5,
"Feb 22, 2019 - SAS @ TOR",L,17:01,8,4,4,100,0,0,0,0,0,0,1,8,9,1,1,3,2,3,-3,
"Feb 12, 2019 - SAS @ MEM",W,12:53,0,0,2,0,0,0,0,0,0,0,2,3,5,0,1,0,1,0,-15,
"Feb 09, 2019 - SAS @ UTA",L,23:54,8,4,5,80,0,0,0,0,0,0,0,7,7,1,1,1,0,3,-14,
"Feb 07, 2019 - SAS @ POR",L,12:52,8,4,5,80,0,0,0,0,0,0,3,3,6,0,0,1,0,1,5,
"Feb 06, 2019 - SAS @ GSW",L,20:01,7,3,4,75,0,0,0,1,1,100,2,1,3,6,2,0,1,4,-2,
"Feb 04, 2019 - SAS @ SAC",L,15:47,8,4,6,66.7,0,0,0,0,0,0,4,2,6,0,0,0,2,0,-4,
"Feb 02, 2019 - SAS vs. NOP",W,6:48,2,1,1,100,0,0,0,0,0,0,1,1,2,2,0,1,2,1,-19,
"Jan 31, 2019 - SAS vs. BKN",W,4:02,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,-3,
"Jan 29, 2019 - SAS vs. PHX",W,8:18,4,2,2,100,0,0,0,0,0,0,1,0,1,1,0,0,0,1,8,
"Jan 27, 2019 - SAS vs. WAS",W,15:03,4,2,3,66.7,0,0,0,0,1,0,1,4,5,1,1,1,1,2,6,
"Jan 26, 2019 - SAS @ NOP",W,5:44,3,0,0,0,0,0,0,3,4,75,0,1,1,1,0,0,0,2,-2,
"Jan 23, 2019 - SAS @ PHI",L,13:15,2,1,2,50,0,0,0,0,0,0,1,3,4,0,0,0,0,0,-2,
"Jan 20, 2019 - SAS vs. LAC",L,12:51,2,1,2,50,0,0,0,0,4,0,2,2,4,2,0,0,0,3,-6,
"Jan 18, 2019 - SAS @ MIN",W,11:35,4,2,2,100,0,0,0,0,0,0,0,1,1,0,0,0,1,3,-1,
"Jan 16, 2019 - SAS @ DAL",W,19:43,6,3,3,100,0,0,0,0,0,0,5,2,7,4,2,1,0,4,12,
"Jan 14, 2019 - SAS vs. CHA",L,11:03,2,1,2,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-7,
"Jan 12, 2019 - SAS @ OKC",L,18:33,6,2,4,50,0,0,0,2,2,100,5,5,10,1,0,1,0,0,-1,
"Jan 10, 2019 - SAS vs. OKC",W,7:54,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,-2,
"Jan 09, 2019 - SAS @ MEM",L,13:39,1,0,0,0,0,0,0,1,2,50,1,2,3,1,0,1,1,1,-10,
"Jan 07, 2019 - SAS @ DET",W,27:04:00,7,3,4,75,0,0,0,1,6,16.7,4,2,6,2,0,1,2,3,-8,
"Jan 05, 2019 - SAS vs. MEM",W,17:02,11,5,5,100,0,0,0,1,2,50,0,6,6,2,0,1,2,3,14,
"Jan 03, 2019 - SAS vs. TOR",W,13:11,2,1,2,50,0,0,0,0,0,0,4,3,7,1,0,0,1,3,3,
"Dec 31, 2018 - SAS vs. BOS",W,20:07,2,1,4,25,0,0,0,0,0,0,3,3,6,5,0,0,1,2,-14,
"Dec 29, 2018 - SAS @ LAC",W,10:26,3,1,1,100,0,0,0,1,2,50,2,2,4,1,0,1,0,3,-5,
"Dec 28, 2018 - SAS @ DEN",L,17:51,7,3,6,50,0,0,0,1,4,25,2,3,5,2,0,1,1,2,-2,
"Dec 26, 2018 - SAS vs. DEN",W,18:46,6,3,6,50,0,0,0,0,0,0,3,8,11,2,0,0,0,1,15,
"Dec 22, 2018 - SAS @ HOU",L,16:35,6,3,3,100,0,0,0,0,2,0,1,3,4,1,0,2,1,0,4,
"Dec 21, 2018 - SAS vs. MIN",W,27:09:00,12,6,9,66.7,0,0,0,0,0,0,3,3,6,1,0,0,1,3,2,
"Dec 19, 2018 - SAS @ ORL",W,21:48,4,2,6,33.3,0,0,0,0,0,0,2,2,4,3,0,1,0,1,21,
"Apr 11, 2018 - TOR @ MIA",L,29:08:00,16,8,10,80,0,0,0,0,1,0,6,6,12,0,3,2,2,2,-7,
"Apr 09, 2018 - TOR @ DET",W,22:57,12,6,8,75,0,0,0,0,0,0,2,5,7,0,0,1,0,0,-11,
