Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Dec 06, 2019 - MIA vs. WAS",W,32:01:00,22,10,18,55.6,2,7,28.6,0,0,0,0,7,7,2,2,0,1,1,7,
"Dec 04, 2019 - MIA @ BOS",L,20:23,5,2,8,25,1,4,25,0,0,0,0,1,1,1,0,1,1,1,-13,
"Dec 03, 2019 - MIA @ TOR",W,17:34,6,2,7,28.6,1,4,25,1,1,100,0,2,2,1,1,0,1,2,-8,
"Dec 01, 2019 - MIA @ BKN",W,20:53,4,2,6,33.3,0,1,0,0,0,0,0,1,1,0,0,0,0,1,-2,
"Nov 29, 2019 - MIA vs. GSW",W,26:56:00,19,7,11,63.6,5,6,83.3,0,0,0,0,5,5,0,0,0,2,1,12,
"Nov 27, 2019 - MIA @ HOU",L,35:33:00,22,8,18,44.4,3,8,37.5,3,4,75,1,7,8,3,2,0,5,1,-1,
"Nov 25, 2019 - MIA vs. CHA",W,29:43:00,18,6,13,46.2,2,7,28.6,4,4,100,0,2,2,1,0,0,0,3,2,
"Nov 23, 2019 - MIA @ PHI",L,36:27:00,20,7,17,41.2,4,9,44.4,2,4,50,0,2,2,1,1,1,2,0,1,
"Nov 22, 2019 - MIA @ CHI",W,27:44:00,9,3,11,27.3,2,8,25,1,2,50,1,2,3,6,1,0,2,4,-1,
"Nov 20, 2019 - MIA vs. CLE",W,30:58:00,22,9,13,69.2,4,7,57.1,0,0,0,1,2,3,3,0,0,5,3,16,
"Nov 16, 2019 - MIA vs. NOP",W,32:25:00,12,6,12,50,0,1,0,0,0,0,1,4,5,2,1,0,3,0,12,
"Nov 14, 2019 - MIA @ CLE",W,22:26,16,4,7,57.1,2,4,50,6,6,100,0,1,1,1,0,1,4,1,9,
"Nov 08, 2019 - MIA @ LAL",L,23:29,7,2,8,25,1,5,20,2,2,100,0,2,2,0,1,0,0,0,2,
"Nov 07, 2019 - MIA @ PHX",W,28:55:00,15,6,12,50,3,4,75,0,0,0,0,2,2,2,1,0,0,1,14,
"Nov 05, 2019 - MIA @ DEN",L,15:06,2,1,4,25,0,1,0,0,0,0,0,3,3,1,1,0,3,1,-6,
"Nov 03, 2019 - MIA vs. HOU",W,34:38:00,12,3,10,30,2,5,40,4,4,100,1,6,7,7,1,0,1,1,2,
