Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Mar 24, 2021 - MIN vs. DAL",L,37:15:00,29,9,23,39.1,3,12,25,8,9,88.9,0,5,5,3,1,0,0,3,-7,
"Mar 22, 2021 - MIN vs. OKC",L,32:10:00,16,6,16,37.5,2,7,28.6,2,4,50,1,1,2,3,1,0,2,1,-17,
"Mar 19, 2021 - MIN @ PHX",L,36:10:00,11,4,18,22.2,3,8,37.5,0,0,0,2,8,10,6,1,1,7,2,-12,
"Mar 18, 2021 - MIN @ PHX",W,38:17:00,42,15,31,48.4,4,13,30.8,8,13,61.5,3,4,7,3,2,0,2,2,9,
"Mar 16, 2021 - MIN @ LAL",L,38:26:00,29,11,22,50,3,7,42.9,4,6,66.7,2,2,4,1,1,0,2,1,-17,
"Mar 14, 2021 - MIN vs. POR",W,36:36:00,34,12,24,50,6,14,42.9,4,4,100,0,4,4,2,1,0,2,3,-7,
"Mar 13, 2021 - MIN vs. POR",L,29:29:00,21,8,18,44.4,3,7,42.9,2,4,50,0,8,8,3,1,0,3,4,-6,
"Mar 11, 2021 - MIN @ NOP",W,37:22:00,27,10,22,45.5,2,5,40,5,6,83.3,0,4,4,2,3,0,3,3,11,
"Mar 03, 2021 - MIN vs. CHA",L,33:09:00,19,8,23,34.8,1,10,10,2,2,100,3,2,5,3,2,0,4,2,-24,
"Feb 28, 2021 - MIN vs. PHX",L,35:29:00,24,8,22,36.4,2,8,25,6,6,100,0,5,5,1,3,0,4,3,-15,
"Feb 27, 2021 - MIN @ WAS",L,32:11:00,21,9,22,40.9,3,11,27.3,0,2,0,2,4,6,0,1,2,1,2,2,
"Feb 24, 2021 - MIN @ CHI",L,36:57:00,21,7,20,35,3,9,33.3,4,4,100,3,6,9,6,2,0,3,2,5,
"Feb 23, 2021 - MIN @ MIL",L,27:43:00,9,3,13,23.1,3,8,37.5,0,0,0,0,6,6,3,0,2,4,1,-10,
"Feb 21, 2021 - MIN @ NYK",L,31:38:00,12,3,11,27.3,3,6,50,3,4,75,0,3,3,4,0,0,3,2,-8,
"Feb 19, 2021 - MIN vs. TOR",L,34:05:00,7,3,14,21.4,0,7,0,1,2,50,0,3,3,4,2,1,1,0,-13,
"Feb 17, 2021 - MIN vs. IND",L,38:46:00,8,3,15,20,0,4,0,2,2,100,0,5,5,4,0,0,1,0,-23,
"Feb 16, 2021 - MIN vs. LAL",L,34:20:00,28,10,21,47.6,5,10,50,3,4,75,0,7,7,5,1,2,3,2,0,
"Feb 14, 2021 - MIN @ TOR",W,34:57:00,18,7,15,46.7,1,7,14.3,3,4,75,0,7,7,3,1,0,2,1,14,
"Feb 12, 2021 - MIN @ CHA",L,33:58:00,21,9,21,42.9,2,6,33.3,1,1,100,0,6,6,3,0,0,0,2,-4,
"Feb 10, 2021 - MIN vs. LAC",L,29:44:00,11,4,9,44.4,1,5,20,2,2,100,2,2,4,2,1,0,3,1,1,
"Feb 08, 2021 - MIN @ DAL",L,30:56:00,22,8,19,42.1,3,8,37.5,3,4,75,0,2,2,4,2,2,1,2,-13,
"Feb 06, 2021 - MIN @ OKC",L,31:15:00,20,8,16,50,2,5,40,2,4,50,0,8,8,4,1,1,0,1,2,
