Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 23, 2022 - MIN vs. BKN",W,27:20:00,14,6,11,54.5,2,5,40,0,0,0,2,2,4,1,0,1,0,1,-6,
"Jan 19, 2022 - MIN @ ATL",L,17:17,4,2,5,40,0,0,0,0,0,0,0,1,1,0,1,0,1,3,-20,
"Jan 18, 2022 - MIN @ NYK",W,19:14,8,3,8,37.5,0,5,0,2,4,50,0,3,3,0,1,2,1,4,-5,
"Jan 16, 2022 - MIN vs. GSW",W,21:14,9,4,12,33.3,1,5,20,0,0,0,0,2,2,1,2,2,3,3,27,
"Jan 13, 2022 - MIN @ MEM",L,18:58,4,2,7,28.6,0,3,0,0,0,0,2,3,5,0,0,1,1,2,-14,
"Jan 11, 2022 - MIN @ NOP",L,27:31:00,9,2,6,33.3,0,2,0,5,5,100,1,5,6,2,0,0,2,2,2,
"Jan 09, 2022 - MIN @ HOU",W,28:36:00,7,3,8,37.5,1,4,25,0,0,0,1,2,3,1,0,4,0,4,8,
"Jan 07, 2022 - MIN @ OKC",W,18:14,9,4,9,44.4,1,4,25,0,0,0,0,1,1,0,0,0,2,4,12,
"Jan 05, 2022 - MIN vs. OKC",W,21:24,11,5,12,41.7,1,4,25,0,1,0,2,1,3,2,0,0,0,0,-14,
"Jan 03, 2022 - MIN @ LAC",W,28:58:00,18,7,10,70,4,5,80,0,0,0,1,2,3,3,0,0,1,2,18,
"Jan 02, 2022 - MIN @ LAL",L,21:37,7,3,6,50,1,3,33.3,0,0,0,4,4,8,0,1,0,3,6,-8,
"Dec 31, 2021 - MIN @ UTA",L,33:29:00,12,5,11,45.5,1,4,25,1,1,100,1,5,6,0,0,0,1,3,-13,
"Dec 28, 2021 - MIN vs. NYK",L,35:38:00,18,7,11,63.6,1,5,20,3,3,100,2,4,6,0,1,5,1,1,3,
"Dec 27, 2021 - MIN vs. BOS",W,36:14:00,17,6,14,42.9,2,7,28.6,3,3,100,1,4,5,2,1,0,2,3,-10,
"Dec 23, 2021 - MIN @ UTA",L,36:38:00,16,7,18,38.9,1,6,16.7,1,1,100,3,6,9,7,1,1,4,4,-10,
"Dec 21, 2021 - MIN @ DAL",L,39:29:00,11,4,8,50,0,3,0,3,3,100,1,7,8,3,2,0,0,4,-7,
"Dec 19, 2021 - MIN vs. DAL",W,31:44:00,12,5,8,62.5,2,4,50,0,0,0,0,1,1,1,0,0,1,2,8,
"Dec 17, 2021 - MIN vs. LAL",W,21:40,8,3,6,50,1,3,33.3,1,2,50,1,3,4,0,0,0,1,6,10,
"Dec 15, 2021 - MIN @ DEN",W,23:27,9,3,9,33.3,3,6,50,0,0,0,1,5,6,1,3,0,0,4,-5,
"Dec 12, 2021 - MIN @ POR",W,28:19:00,10,4,11,36.4,2,7,28.6,0,0,0,0,7,7,0,0,0,1,3,-17,
"Dec 10, 2021 - MIN vs. CLE",L,21:33,5,1,4,25,0,1,0,3,3,100,0,2,2,1,0,0,1,3,-4,
"Dec 08, 2021 - MIN vs. UTA",L,23:25,5,2,10,20,1,7,14.3,0,0,0,0,3,3,1,2,1,0,1,-22,
"Dec 06, 2021 - MIN vs. ATL",L,21:56,5,2,9,22.2,1,3,33.3,0,0,0,3,1,4,0,1,0,2,3,-7,
"May 16, 2021 - MIN vs. DAL",W,32:23:00,19,8,13,61.5,3,7,42.9,0,0,0,2,1,3,2,0,1,2,4,15,
"May 15, 2021 - MIN vs. BOS",L,21:42,2,1,2,50,0,1,0,0,0,0,1,2,3,1,0,1,1,4,-12,
"May 13, 2021 - MIN vs. DEN",L,17:09,5,2,5,40,1,4,25,0,0,0,0,0,0,1,0,0,0,1,1,
"May 11, 2021 - MIN @ DET",W,26:25:00,1,0,2,0,0,2,0,1,2,50,0,5,5,1,2,3,1,1,4,
"May 05, 2021 - MIN vs. MEM",L,26:13:00,8,3,7,42.9,2,5,40,0,0,0,0,3,3,2,0,1,0,5,6,
"May 01, 2021 - MIN vs. NOP",L,34:32:00,5,1,2,50,1,2,50,2,2,100,1,4,5,0,2,0,1,6,10,
"Apr 29, 2021 - MIN vs. GSW",W,32:28:00,8,3,7,42.9,2,5,40,0,0,0,2,3,5,4,1,0,1,4,-1,
"Apr 27, 2021 - MIN @ HOU",W,25:45:00,5,2,4,50,1,2,50,0,0,0,0,3,3,0,1,0,0,1,-10,
"Apr 26, 2021 - MIN vs. UTA",W,34:27:00,6,2,9,22.2,1,6,16.7,1,2,50,2,8,10,2,0,2,1,4,4,
"Apr 24, 2021 - MIN @ UTA",W,33:00:00,6,3,6,50,0,0,0,0,0,0,2,3,5,2,1,0,1,4,2,
"Apr 21, 2021 - MIN @ SAC",L,32:03:00,4,2,4,50,0,2,0,0,0,0,1,1,2,0,1,1,0,5,-21,
"Apr 20, 2021 - MIN @ SAC",W,30:27:00,13,6,8,75,1,2,50,0,0,0,1,5,6,0,0,1,3,2,8,
"Apr 18, 2021 - MIN @ LAC",L,27:22:00,11,4,6,66.7,3,5,60,0,0,0,1,0,1,1,1,1,0,3,-7,
"Apr 16, 2021 - MIN vs. MIA",W,15:52,4,1,3,33.3,1,3,33.3,1,2,50,0,1,1,1,1,0,0,3,-9,
"Apr 14, 2021 - MIN vs. MIL",L,25:38:00,13,5,10,50,3,5,60,0,0,0,0,4,4,0,0,0,2,2,-13,
"Apr 13, 2021 - MIN vs. BKN",L,23:52,5,2,5,40,1,3,33.3,0,0,0,0,3,3,2,0,0,1,3,-26,
"Apr 11, 2021 - MIN vs. CHI",W,29:35:00,4,1,7,14.3,0,4,0,2,2,100,0,6,6,1,1,3,0,2,-3,
"Apr 09, 2021 - MIN @ BOS",L,43:35:00,11,5,12,41.7,1,5,20,0,0,0,2,1,3,1,2,0,1,4,-17,
"Apr 07, 2021 - MIN @ IND",L,37:12:00,8,3,5,60,1,3,33.3,1,2,50,2,5,7,2,2,0,3,4,3,
"Apr 05, 2021 - MIN vs. SAC",W,19:32,4,2,5,40,0,1,0,0,0,0,2,3,5,0,0,1,1,5,-4,
"Apr 03, 2021 - MIN @ PHI",L,35:28:00,14,4,10,40,2,6,33.3,4,4,100,2,6,8,1,1,2,0,4,-1,
"Apr 02, 2021 - MIN @ MEM",L,20:38,7,2,4,50,2,3,66.7,1,1,100,0,2,2,3,0,0,1,5,-12,
"Mar 31, 2021 - MIN vs. NYK",W,36:14:00,18,7,13,53.8,4,9,44.4,0,0,0,2,3,5,3,0,0,2,3,9,
