Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Mar 04, 2020 - MIN vs. CHI",W,24:58:00,16,5,10,50,3,3,100,3,6,50,5,6,11,3,0,2,0,2,12,
"Mar 03, 2020 - MIN @ NOP",W,27:24:00,13,5,12,41.7,1,4,25,2,2,100,3,11,14,3,3,2,1,4,3,
"Mar 01, 2020 - MIN vs. DAL",L,27:14:00,9,4,13,30.8,0,2,0,1,2,50,5,7,12,2,0,0,0,1,1,
"Feb 28, 2020 - MIN @ ORL",L,23:10,7,3,6,50,1,2,50,0,1,0,0,1,1,2,0,2,0,4,7,
"Feb 26, 2020 - MIN @ MIA",W,18:47,9,4,7,57.1,0,3,0,1,3,33.3,0,3,3,0,1,1,0,5,2,
"Feb 24, 2020 - MIN @ DAL",L,26:45:00,6,2,10,20,1,3,33.3,1,1,100,0,5,5,2,0,3,0,2,-3,
"Feb 23, 2020 - MIN @ DEN",L,21:51,13,5,12,41.7,1,4,25,2,3,66.7,1,4,5,1,1,0,2,5,2,
"Feb 21, 2020 - MIN vs. BOS",L,32:34:00,19,7,15,46.7,2,5,40,3,4,75,4,5,9,1,3,0,0,5,3,
"Feb 12, 2020 - MIN vs. CHA",L,22:05,12,4,7,57.1,0,2,0,4,4,100,1,5,6,0,1,1,0,5,0,
"Feb 10, 2020 - MIN @ TOR",L,9:52,8,2,5,40,1,1,100,3,3,100,1,2,3,0,0,1,1,1,-2,
"Feb 08, 2020 - MIN vs. LAC",W,13:48,14,5,13,38.5,4,6,66.7,0,0,0,2,7,9,1,0,0,1,3,2,
"Feb 05, 2020 - MIN vs. ATL",L,12:54,10,4,6,66.7,2,3,66.7,0,0,0,0,2,2,0,0,2,1,5,5,
"Feb 01, 2020 - MIN @ LAC",L,2:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,
"Jan 27, 2020 - MIN vs. SAC",L,1:02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6,
"Jan 25, 2020 - MIN vs. OKC",L,6:45,2,1,2,50,0,0,0,0,0,0,1,1,2,2,1,0,0,1,5,
"Jan 18, 2020 - MIN vs. TOR",L,2:40,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,
"Jan 15, 2020 - MIN vs. IND",L,8:11,2,1,3,33.3,0,1,0,0,0,0,1,0,1,0,0,0,1,2,6,
"Jan 13, 2020 - MIN vs. OKC",L,18:23,20,7,13,53.8,4,8,50,2,2,100,0,1,1,1,0,1,0,4,3,
"Jan 11, 2020 - MIN @ HOU",L,17:34,14,5,14,35.7,1,8,12.5,3,4,75,1,1,2,1,0,1,0,2,-8,
"Jan 09, 2020 - MIN vs. POR",W,16:31,0,0,5,0,0,2,0,0,0,0,0,6,6,1,0,1,0,5,-1,
"Jan 07, 2020 - MIN @ MEM",L,10:35,10,3,6,50,1,3,33.3,3,3,100,3,2,5,1,0,0,1,3,7,
"Jan 05, 2020 - MIN @ CLE",W,10:50,8,4,7,57.1,0,1,0,0,0,0,1,1,2,3,3,0,2,2,-11,
"Jan 02, 2020 - MIN vs. GSW",W,20:29,13,5,11,45.5,3,6,50,0,3,0,2,4,6,1,0,1,1,1,2,
"Jan 01, 2020 - MIN @ MIL",L,18:20,11,4,10,40,2,7,28.6,1,2,50,0,2,2,1,0,1,1,5,3,
"Dec 30, 2019 - MIN vs. BKN",W,19:54,13,5,16,31.3,3,10,30,0,0,0,1,3,4,1,1,1,2,3,4,
"Dec 09, 2019 - MIN @ PHX",L,1:09,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,
"Dec 08, 2019 - MIN @ LAL",L,2:51,3,1,2,50,1,2,50,0,0,0,0,0,0,0,0,0,0,0,2,
