Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Mar 22, 2024 - MEM @ SAS",W,33:47:00,15,5,10,50,3,6,50,2,2,100,1,12,13,3,0,1,0,0,-6,
"Mar 20, 2024 - MEM @ GSW",L,34:01:00,27,9,18,50,6,12,50,3,4,75,3,6,9,4,2,1,2,0,-23,
"Mar 18, 2024 - MEM @ SAC",L,38:46:00,14,5,11,45.5,2,6,33.3,2,3,66.7,1,8,9,2,2,1,2,2,-3,
"Mar 16, 2024 - MEM vs. OKC",L,38:59:00,16,6,12,50,3,7,42.9,1,3,33.3,1,5,6,4,1,1,0,4,-4,
"Mar 12, 2024 - MEM vs. WAS",W,29:54:00,11,5,14,35.7,0,5,0,1,2,50,0,4,4,1,2,0,1,3,14,
"Mar 10, 2024 - MEM @ OKC",L,26:51:00,7,2,5,40,0,2,0,3,4,75,1,5,6,3,0,2,0,0,-26,
"Mar 08, 2024 - MEM vs. ATL",L,31:31:00,13,5,7,71.4,2,3,66.7,1,2,50,1,4,5,0,1,3,1,0,-14,
"Mar 06, 2024 - MEM @ PHI",W,35:21:00,17,6,13,46.2,3,8,37.5,2,2,100,1,3,4,7,1,3,1,0,4,
"Mar 04, 2024 - MEM @ BKN",W,31:44:00,12,5,11,45.5,2,6,33.3,0,0,0,1,4,5,4,0,0,2,1,-6,
"Mar 02, 2024 - MEM vs. POR",L,37:22:00,21,7,15,46.7,5,9,55.6,2,3,66.7,2,6,8,3,0,1,3,3,-17,
"Mar 01, 2024 - MEM vs. POR",L,27:33:00,6,3,10,30,0,4,0,0,0,0,3,5,8,1,0,1,4,1,-37,
"Feb 28, 2024 - MEM @ MIN",L,35:36:00,11,5,13,38.5,1,3,33.3,0,0,0,1,4,5,1,2,2,2,2,4,
"Feb 26, 2024 - MEM vs. BKN",L,19:38,7,3,5,60,1,2,50,0,0,0,2,3,5,1,1,0,2,2,-4,
"Feb 23, 2024 - MEM vs. LAC",L,24:06:00,7,3,8,37.5,1,5,20,0,0,0,1,5,6,1,0,1,0,1,-9,
"Feb 15, 2024 - MEM vs. MIL",W,32:31:00,7,3,4,75,1,1,100,0,0,0,0,3,3,7,0,1,1,1,4,
"Feb 14, 2024 - MEM vs. HOU",W,21:43,7,2,7,28.6,1,6,16.7,2,4,50,2,3,5,4,1,1,0,3,11,
"Feb 12, 2024 - MEM vs. NOP",L,29:27:00,6,2,9,22.2,2,8,25,0,0,0,0,4,4,5,0,1,1,0,-12,
"Feb 10, 2024 - MEM @ CHA",L,32:28:00,11,5,14,35.7,1,7,14.3,0,2,0,1,5,6,3,2,0,0,1,-3,
"Feb 08, 2024 - MEM vs. CHI",L,36:46:00,15,6,13,46.2,3,8,37.5,0,0,0,1,4,5,2,0,0,2,2,-6,
"Feb 06, 2024 - MEM @ NYK",L,22:31,11,4,6,66.7,3,4,75,0,0,0,0,4,4,5,0,0,2,0,-28,
"Feb 02, 2024 - MEM vs. GSW",L,21:13,2,1,8,12.5,0,6,0,0,0,0,1,4,5,2,2,0,0,2,-3,
"Feb 01, 2024 - MEM vs. CLE",L,37:30:00,18,7,12,58.3,4,7,57.1,0,0,0,1,8,9,3,0,2,1,0,-13,
"Jan 29, 2024 - MEM vs. SAC",L,34:26:00,16,5,14,35.7,5,8,62.5,1,1,100,2,5,7,2,2,0,2,2,-6,
"Jan 28, 2024 - MEM @ IND",L,27:49:00,10,4,11,36.4,2,5,40,0,0,0,1,5,6,1,0,0,1,0,-1,
"Jan 26, 2024 - MEM vs. ORL",W,28:56:00,14,6,9,66.7,2,5,40,0,0,0,2,5,7,5,0,0,1,2,-2,
"Jan 22, 2024 - MEM @ TOR",W,22:57,10,4,9,44.4,1,4,25,1,1,100,1,3,4,4,1,0,1,0,12,
"Jan 20, 2024 - MEM @ CHI",L,27:44:00,5,2,7,28.6,1,5,20,0,0,0,0,8,8,3,1,2,2,0,-25,
"Jan 18, 2024 - MEM @ MIN",L,24:53:00,13,5,14,35.7,2,5,40,1,3,33.3,0,5,5,0,1,1,2,4,-2,
"Jan 15, 2024 - MEM vs. GSW",W,17:06,11,3,6,50,1,4,25,4,5,80,0,6,6,1,0,3,1,2,-6,
"Jan 07, 2024 - MEM @ PHX",W,15:34,7,2,11,18.2,1,7,14.3,2,3,66.7,2,5,7,1,1,1,4,2,-5,
"Jan 05, 2024 - MEM @ LAL",W,9:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-3,
"Jan 03, 2024 - MEM vs. TOR",L,21:34,7,2,6,33.3,2,4,50,1,2,50,1,7,8,3,1,0,1,4,2,
"Jan 02, 2024 - MEM vs. SAS",W,28:07:00,13,5,6,83.3,1,2,50,2,2,100,2,9,11,0,0,1,0,1,12,
"Dec 31, 2023 - MEM vs. SAC",L,14:07,5,2,6,33.3,1,5,20,0,2,0,0,2,2,1,0,0,0,0,-13,
"Dec 29, 2023 - MEM @ LAC",L,22:28,12,5,7,71.4,2,3,66.7,0,0,0,1,4,5,1,1,0,0,1,1,
"Dec 26, 2023 - MEM @ NOP",W,8:55,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,1,0,2,-8,
"Dec 23, 2023 - MEM @ ATL",W,27:06:00,6,2,7,28.6,1,4,25,1,2,50,0,4,4,3,0,1,1,0,3,
"Dec 21, 2023 - MEM vs. IND",W,25:03:00,13,5,7,71.4,3,5,60,0,0,0,0,3,3,2,1,0,2,0,24,
"Dec 19, 2023 - MEM @ NOP",W,15:47,8,3,4,75,2,2,100,0,0,0,2,1,3,0,1,1,0,1,-5,
"Dec 18, 2023 - MEM @ OKC",L,19:58,9,2,10,20,2,7,28.6,3,4,75,2,7,9,1,0,0,1,1,-21,
"Dec 15, 2023 - MEM vs. HOU",L,26:28:00,11,4,8,50,2,4,50,1,2,50,2,2,4,0,0,0,2,3,-12,
"Dec 13, 2023 - MEM @ HOU",L,15:44,7,3,4,75,1,2,50,0,0,0,0,5,5,1,0,2,1,4,-11,
"Dec 11, 2023 - MEM vs. DAL",L,19:55,6,2,6,33.3,2,5,40,0,0,0,0,2,2,3,2,1,1,2,-1,
"Dec 08, 2023 - MEM vs. MIN",L,23:31,9,2,8,25,1,3,33.3,4,6,66.7,4,6,10,6,0,1,0,1,-11,
"Dec 06, 2023 - MEM @ DET",W,26:06:00,7,3,9,33.3,1,3,33.3,0,0,0,3,0,3,3,1,1,1,0,14,
"Dec 02, 2023 - MEM @ PHX",L,30:54:00,7,3,10,30,1,6,16.7,0,0,0,0,7,7,1,3,1,1,5,-5,
"Dec 01, 2023 - MEM @ DAL",W,33:13:00,17,7,10,70,1,4,25,2,2,100,5,7,12,3,1,1,1,1,17,
