Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 22, 2023 - POR vs. LAL",L,17:25,4,1,6,16.7,0,4,0,2,2,100,1,1,2,0,0,0,0,1,-4,
"Jan 19, 2023 - POR vs. PHI",L,20:30,2,1,6,16.7,0,3,0,0,0,0,1,0,1,1,0,0,0,0,-5,
"Jan 17, 2023 - POR @ DEN",L,17:35,13,5,7,71.4,2,4,50,1,1,100,1,1,2,0,0,0,1,3,0,
"Jan 15, 2023 - POR vs. DAL",W,20:16,4,2,4,50,0,2,0,0,0,0,1,3,4,3,0,1,1,2,-9,
"Jan 14, 2023 - POR vs. DAL",W,31:25:00,12,5,12,41.7,2,8,25,0,0,0,2,2,4,1,0,0,0,2,11,
"Jan 12, 2023 - POR vs. CLE",L,20:50,2,1,4,25,0,1,0,0,0,0,0,1,1,0,1,0,2,2,6,
"Jan 10, 2023 - POR vs. ORL",L,14:44,8,3,5,60,1,2,50,1,2,50,0,1,1,0,0,0,0,0,8,
"Jan 08, 2023 - POR @ TOR",L,13:46,3,1,3,33.3,1,1,100,0,0,0,0,0,0,1,0,0,2,4,-17,
"Jan 06, 2023 - POR @ IND",L,19:18,4,1,4,25,1,3,33.3,1,2,50,0,4,4,2,1,0,3,1,-4,
"Jan 04, 2023 - POR @ MIN",L,27:54:00,13,5,7,71.4,1,2,50,2,3,66.7,2,2,4,1,1,0,2,4,1,
"Jan 02, 2023 - POR vs. DET",W,20:29,10,4,8,50,1,2,50,1,2,50,0,3,3,0,1,0,1,6,4,
"Dec 30, 2022 - POR @ GSW",L,19:25,7,3,4,75,1,2,50,0,0,0,2,1,3,0,0,0,0,1,7,
"Dec 26, 2022 - POR vs. CHA",W,6:56,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-8,
"Dec 23, 2022 - POR @ DEN",L,13:39,2,1,3,33.3,0,1,0,0,0,0,1,0,1,0,0,0,0,2,-14,
"Dec 21, 2022 - POR @ OKC",L,19:20,8,3,5,60,2,3,66.7,0,0,0,0,1,1,0,0,0,0,0,1,
