Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Jan 14, 2019 - MEM @ HOU",L,30:57:00,12,5,11,45.5,0,2,0,2,3,66.7,0,6,6,1,0,3,2,3,-15,
"Jan 12, 2019 - MEM @ MIA",L,27:49:00,13,5,8,62.5,1,2,50,2,2,100,0,5,5,2,3,2,1,2,-9,
"Jan 09, 2019 - MEM vs. SAS",W,18:08,12,5,9,55.6,2,5,40,0,0,0,0,2,2,0,0,1,3,4,4,
"Jan 07, 2019 - MEM @ NOP",L,21:36,12,6,11,54.5,0,1,0,0,0,0,0,1,1,0,0,0,1,5,-12,
"Jan 05, 2019 - MEM @ SAS",L,33:41:00,15,5,8,62.5,1,3,33.3,4,5,80,2,5,7,1,4,0,2,3,0,
"Jan 04, 2019 - MEM vs. BKN",L,30:46:00,19,9,15,60,0,3,0,1,1,100,2,2,4,2,0,2,3,5,-7,
"Jan 02, 2019 - MEM vs. DET",L,35:09:00,26,8,11,72.7,2,2,100,8,8,100,3,7,10,2,0,0,2,6,0,
"Dec 31, 2018 - MEM @ HOU",L,13:26,4,2,8,25,0,2,0,0,0,0,0,2,2,0,1,0,0,5,-3,
"Dec 29, 2018 - MEM vs. BOS",L,21:33,15,5,7,71.4,1,3,33.3,4,6,66.7,0,4,4,0,1,0,1,4,4,
"Dec 26, 2018 - MEM vs. CLE",W,28:28:00,11,5,10,50,0,1,0,1,2,50,0,2,2,1,1,1,3,2,7,
"Dec 23, 2018 - MEM @ LAL",W,30:37:00,27,11,21,52.4,1,2,50,4,5,80,4,5,9,1,0,0,3,4,4,
"Dec 21, 2018 - MEM @ SAC",L,24:16:00,12,5,8,62.5,1,2,50,1,1,100,1,5,6,2,1,3,2,6,-4,
"Dec 19, 2018 - MEM @ POR",L,29:04:00,16,6,12,50,2,4,50,2,2,100,2,3,5,2,0,3,1,4,13,
"Dec 17, 2018 - MEM @ GSW",L,22:27,3,1,6,16.7,0,1,0,1,2,50,0,4,4,2,0,0,0,2,-11,
"Dec 15, 2018 - MEM vs. HOU",L,30:54:00,9,4,7,57.1,1,2,50,0,2,0,1,6,7,3,1,3,1,4,-6,
"Dec 14, 2018 - MEM vs. MIA",L,22:12,15,6,9,66.7,0,2,0,3,5,60,1,3,4,0,2,1,2,2,6,
"Dec 12, 2018 - MEM vs. POR",W,30:38:00,14,4,8,50,2,3,66.7,4,4,100,2,4,6,2,1,2,2,3,12,
"Dec 10, 2018 - MEM @ DEN",L,20:04,6,3,7,42.9,0,2,0,0,0,0,0,3,3,1,2,0,1,1,1,
"Dec 08, 2018 - MEM vs. LAL",L,26:42:00,11,4,9,44.4,1,4,25,2,2,100,0,8,8,0,2,0,2,1,-3,
"Dec 07, 2018 - MEM @ NOP",W,14:44,3,1,4,25,0,1,0,1,2,50,0,0,0,0,0,1,2,4,0,
"Dec 05, 2018 - MEM vs. LAC",W,21:13,13,5,10,50,1,4,25,2,2,100,1,5,6,0,1,1,0,6,2,
"Dec 02, 2018 - MEM @ PHI",L,23:25,17,5,10,50,1,4,25,6,6,100,1,2,3,0,1,3,2,5,-6,
"Nov 30, 2018 - MEM @ BKN",W,43:13:00,36,13,22,59.1,3,7,42.9,7,7,100,3,5,8,2,0,0,1,4,13,
"Nov 27, 2018 - MEM vs. TOR",L,18:45,4,1,4,25,0,0,0,2,2,100,0,2,2,0,0,1,3,5,-5,
"Nov 25, 2018 - MEM vs. NYK",L,29:44:00,16,6,6,100,4,4,100,0,0,0,0,6,6,3,0,7,1,5,-1,
"Nov 23, 2018 - MEM @ LAC",L,34:58:00,20,8,15,53.3,1,3,33.3,3,5,60,1,6,7,3,0,3,3,4,-2,
"Nov 21, 2018 - MEM @ SAS",W,12:26,9,3,4,75,2,2,100,1,2,50,0,1,1,1,0,0,1,5,1,
"Nov 19, 2018 - MEM vs. DAL",W,36:17:00,13,6,13,46.2,0,3,0,1,1,100,0,3,3,2,2,4,2,3,-1,
"Nov 18, 2018 - MEM @ MIN",W,18:44,13,6,10,60,1,2,50,0,0,0,1,1,2,1,0,3,3,3,7,
"Nov 16, 2018 - MEM vs. SAC",W,31:29:00,27,11,16,68.8,1,1,100,4,6,66.7,2,4,6,0,4,2,1,5,5,
"Nov 14, 2018 - MEM @ MIL",W,15:33,13,5,8,62.5,1,1,100,2,3,66.7,0,2,2,1,2,0,0,5,-1,
"Nov 12, 2018 - MEM vs. UTA",L,27:29:00,10,4,9,44.4,0,1,0,2,2,100,5,6,11,3,1,5,4,3,-6,
"Nov 10, 2018 - MEM vs. PHI",W,30:35:00,7,2,8,25,0,2,0,3,4,75,0,1,1,1,0,1,0,2,7,
"Nov 07, 2018 - MEM vs. DEN",W,32:47:00,20,7,15,46.7,2,5,40,4,6,66.7,3,4,7,0,3,3,3,2,0,
"Nov 05, 2018 - MEM @ GSW",L,32:20:00,15,6,16,37.5,0,3,0,3,6,50,2,4,6,2,0,5,2,3,-9,
