Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Feb 07, 2019 - POR vs. SAS",W,1:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6,
"Jan 18, 2019 - POR vs. NOP",W,1:18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Jan 16, 2019 - POR vs. CLE",W,2:13,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-4,
"Jan 11, 2019 - POR vs. CHA",W,6:55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,
"Jan 09, 2019 - POR vs. CHI",W,3:01,4,2,3,66.7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-4,
"Dec 30, 2018 - POR vs. PHI",W,10:14,0,0,3,0,0,1,0,0,0,0,0,2,2,1,0,0,0,2,-7,
"Nov 21, 2018 - POR @ MIL",L,12:00,2,1,4,25,0,1,0,0,2,0,0,0,0,0,0,0,2,0,-13,
"Nov 18, 2018 - POR @ WAS",W,5:26,0,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,-6,
"Nov 16, 2018 - POR @ MIN",L,13:25,7,3,7,42.9,0,2,0,1,2,50,0,3,3,1,0,0,0,0,9,
"Nov 01, 2018 - POR vs. NOP",W,1:51,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,
"Oct 30, 2018 - POR @ HOU",W,0:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
