Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Mar 12, 2016 - DET @ PHI",W,32:59:00,21,8,12,66.7,2,3,66.7,3,3,100,1,7,8,1,0,0,3,3,13,
"Mar 11, 2016 - DET @ CHA",L,34:40:00,20,6,14,42.9,2,5,40,6,6,100,0,5,5,1,3,0,2,2,-14,
"Mar 09, 2016 - DET @ DAL",W,39:10:00,19,6,11,54.5,2,6,33.3,5,5,100,1,6,7,5,1,0,2,2,1,
"Mar 06, 2016 - DET vs. POR",W,38:32:00,16,7,12,58.3,2,3,66.7,0,0,0,0,5,5,5,2,0,4,4,29,
"Mar 05, 2016 - DET @ NYK",L,36:02:00,18,6,12,50,0,2,0,6,8,75,1,7,8,1,0,0,1,3,-13,
"Mar 02, 2016 - DET @ SAS",L,38:08:00,16,7,16,43.8,1,2,50,1,2,50,1,5,6,4,0,0,1,1,-18,
"Feb 28, 2016 - DET vs. TOR",W,25:20:00,14,5,9,55.6,2,3,66.7,2,2,100,1,6,7,1,0,0,0,2,21,
"Feb 27, 2016 - DET @ MIL",W,35:20:00,15,5,14,35.7,2,3,66.7,3,4,75,1,3,4,4,1,0,1,1,10,
"Feb 24, 2016 - DET vs. PHI",W,29:50:00,22,9,12,75,1,2,50,3,4,75,1,7,8,2,0,0,1,1,18,
"Feb 22, 2016 - DET @ CLE",W,34:35:00,14,6,14,42.9,1,5,20,1,1,100,1,4,5,3,3,0,1,5,16,
"Feb 21, 2016 - DET vs. NOP",L,35:22:00,16,6,17,35.3,2,6,33.3,2,3,66.7,0,5,5,2,1,2,1,3,-4,
"Feb 19, 2016 - DET @ WAS",L,30:04:00,21,9,12,75,1,2,50,2,2,100,1,3,4,0,0,0,2,2,-6,
"Feb 05, 2016 - ORL vs. LAC",L,28:01:00,13,4,9,44.4,0,2,0,5,5,100,2,6,8,0,0,0,1,1,-2,
"Feb 03, 2016 - ORL @ OKC",L,34:23:00,15,7,14,50,1,4,25,0,2,0,2,5,7,3,0,0,0,1,8,
"Feb 01, 2016 - ORL @ SAS",L,25:17:00,11,5,9,55.6,1,3,33.3,0,0,0,1,3,4,0,0,0,3,2,-10,
"Jan 31, 2016 - ORL vs. BOS",W,39:32:00,16,6,9,66.7,1,3,33.3,3,3,100,2,4,6,0,3,0,2,1,8,
"Jan 29, 2016 - ORL @ BOS",L,27:41:00,10,3,12,25,2,4,50,2,2,100,2,5,7,0,0,0,2,2,-9,
"Jan 26, 2016 - ORL @ MIL",L,23:44,13,4,12,33.3,2,5,40,3,7,42.9,3,3,6,2,1,1,2,2,-6,
"Jan 25, 2016 - ORL @ MEM",L,39:18:00,16,6,9,66.7,3,4,75,1,1,100,0,4,4,3,0,0,2,1,-16,
"Jan 22, 2016 - ORL vs. CHA",L,39:15:00,22,9,14,64.3,0,4,0,4,5,80,0,5,5,2,0,2,1,5,-6,
"Jan 20, 2016 - ORL vs. PHI",L,35:35:00,15,5,13,38.5,1,3,33.3,4,7,57.1,1,9,10,2,1,1,1,2,-11,
"Jan 18, 2016 - ORL @ ATL",L,31:37:00,6,2,7,28.6,0,2,0,2,2,100,1,3,4,4,4,1,2,1,-7,
"Jan 14, 2016 - ORL vs. TOR",L,44:17:00,16,7,13,53.8,2,4,50,0,0,0,1,10,11,3,1,0,4,2,10,
"Jan 09, 2016 - ORL vs. WAS",L,35:29:00,11,4,9,44.4,0,2,0,3,4,75,1,3,4,1,2,0,1,1,-12,
"Jan 08, 2016 - ORL @ BKN",W,42:55:00,9,3,15,20,1,4,25,2,4,50,2,10,12,8,0,2,1,3,14,
"Jan 06, 2016 - ORL vs. IND",L,34:12:00,6,3,12,25,0,6,0,0,0,0,0,3,3,2,0,1,2,1,-14,
"Jan 04, 2016 - ORL @ DET",L,33:17:00,11,4,7,57.1,1,2,50,2,2,100,0,3,3,3,0,0,1,2,-12,
"Jan 02, 2016 - ORL @ CLE",L,21:47,4,2,5,40,0,2,0,0,0,0,0,5,5,1,0,1,1,2,-23,
"Jan 01, 2016 - ORL @ WAS",L,36:03:00,13,5,9,55.6,1,3,33.3,2,3,66.7,1,9,10,3,0,1,2,1,-11,
"Dec 30, 2015 - ORL vs. BKN",W,36:34:00,12,5,13,38.5,0,3,0,2,3,66.7,2,6,8,2,1,0,2,0,10,
"Dec 28, 2015 - ORL vs. NOP",W,37:25:00,14,5,8,62.5,1,2,50,3,3,100,1,8,9,4,0,0,0,1,19,
"Dec 26, 2015 - ORL vs. MIA",L,39:04:00,13,4,7,57.1,2,3,66.7,3,6,50,0,6,6,1,2,0,1,2,0,
"Dec 23, 2015 - ORL vs. HOU",W,36:12:00,19,8,10,80,1,1,100,2,2,100,3,5,8,1,0,1,2,1,3,
"Dec 21, 2015 - ORL @ NYK",W,36:58:00,20,7,14,50,3,6,50,3,3,100,0,3,3,1,3,0,0,4,6,
"Dec 20, 2015 - ORL vs. ATL",L,30:50:00,4,2,9,22.2,0,2,0,0,0,0,0,6,6,3,1,1,0,5,5,
"Apr 13, 2015 - ORL @ MIA",L,40:01:00,26,11,15,73.3,2,4,50,2,3,66.7,2,10,12,1,0,0,0,3,-7,
"Apr 11, 2015 - ORL vs. NYK",L,33:05:00,15,5,10,50,1,2,50,4,5,80,1,4,5,1,1,0,1,1,-12,
"Apr 10, 2015 - ORL vs. TOR",L,32:03:00,16,8,15,53.3,0,3,0,0,0,0,1,7,8,1,1,0,2,0,-10,
"Apr 08, 2015 - ORL vs. CHI",W,29:29:00,8,2,13,15.4,0,5,0,4,4,100,1,2,3,1,0,0,1,1,-1,
"Apr 04, 2015 - ORL @ MIL",W,40:37:00,23,8,15,53.3,5,9,55.6,2,3,66.7,1,9,10,2,1,3,2,0,5,
"Apr 03, 2015 - ORL @ MIN",W,36:26:00,25,9,20,45,4,8,50,3,5,60,4,8,12,0,1,0,4,3,20,
"Apr 01, 2015 - ORL vs. SAS",L,39:39:00,18,7,14,50,1,3,33.3,3,4,75,1,6,7,1,1,1,2,2,-6,
"Mar 27, 2015 - ORL vs. DET",L,36:19:00,21,9,18,50,0,3,0,3,3,100,2,3,5,1,1,0,1,0,-8,
"Mar 25, 2015 - ORL vs. ATL",L,35:47:00,14,6,14,42.9,1,4,25,1,2,50,0,2,2,2,1,0,1,1,-14,
"Mar 17, 2015 - ORL @ HOU",L,16:54,6,2,7,28.6,0,3,0,2,2,100,0,0,0,1,0,0,0,0,-6,
"Mar 15, 2015 - ORL vs. CLE",L,46:08:00,24,9,15,60,3,6,50,3,4,75,1,7,8,1,1,0,1,1,-4,
"Mar 13, 2015 - ORL @ BOS",L,38:17:00,16,6,12,50,2,5,40,2,3,66.7,0,4,4,3,1,0,1,2,-7,
"Mar 11, 2015 - ORL @ MIL",L,39:16:00,17,7,16,43.8,3,5,60,0,0,0,0,3,3,3,3,1,2,3,-2,
"Mar 10, 2015 - ORL @ IND",L,29:41:00,22,8,17,47.1,1,4,25,5,6,83.3,2,4,6,0,2,0,2,2,-3,
"Mar 08, 2015 - ORL vs. BOS",W,42:18:00,21,8,17,47.1,2,7,28.6,3,3,100,0,4,4,1,2,2,1,0,15,
"Mar 06, 2015 - ORL vs. SAC",W,36:49:00,19,6,15,40,2,6,33.3,5,5,100,1,5,6,2,2,1,1,0,10,
"Mar 04, 2015 - ORL vs. PHX",L,36:04:00,11,5,8,62.5,1,3,33.3,0,0,0,0,4,4,2,0,1,1,1,-2,
"Mar 01, 2015 - ORL vs. CHA",L,33:55:00,13,4,13,30.8,1,2,50,4,6,66.7,1,8,9,2,2,0,0,1,-26,
"Feb 27, 2015 - ORL @ ATL",L,36:53:00,15,5,9,55.6,2,4,50,3,4,75,0,4,4,1,2,1,2,0,-8,
"Feb 25, 2015 - ORL vs. MIA",L,38:38:00,12,4,11,36.4,2,6,33.3,2,2,100,2,6,8,0,1,1,2,3,-18,
"Feb 22, 2015 - ORL vs. PHI",W,24:58:00,4,2,6,33.3,0,3,0,0,0,0,0,1,1,2,0,0,3,2,-11,
"Feb 08, 2015 - ORL vs. CHI",L,39:26:00,15,6,17,35.3,2,5,40,1,1,100,2,6,8,1,3,0,1,1,-5,
"Feb 06, 2015 - ORL vs. LAL",W,45:24:00,34,14,18,77.8,2,5,40,4,4,100,0,7,7,2,1,1,2,1,4,
"Feb 04, 2015 - ORL @ SAS",L,38:20:00,23,9,13,69.2,3,4,75,2,3,66.7,0,10,10,6,0,0,0,2,0,
"Feb 02, 2015 - ORL @ OKC",L,40:37:00,18,8,20,40,0,5,0,2,3,66.7,1,3,4,4,0,0,1,0,-6,
"Jan 31, 2015 - ORL vs. DAL",L,30:25:00,8,2,8,25,0,3,0,4,6,66.7,1,2,3,5,1,0,2,2,-7,
"Jan 29, 2015 - ORL vs. MIL",L,21:08,7,2,12,16.7,0,2,0,3,4,75,4,1,5,1,0,0,1,0,-18,
"Jan 26, 2015 - ORL @ MEM",L,20:18,8,4,10,40,0,0,0,0,0,0,1,1,2,0,1,0,2,0,-14,
"Jan 25, 2015 - ORL vs. IND",L,29:52:00,11,2,5,40,1,1,100,6,9,66.7,1,6,7,2,1,0,2,4,-8,
"Jan 23, 2015 - ORL @ NYK",L,28:50:00,9,4,14,28.6,0,6,0,1,1,100,0,2,2,1,0,0,2,3,-8,
"Jan 21, 2015 - ORL @ DET",L,25:06:00,19,7,15,46.7,1,2,50,4,4,100,1,4,5,1,0,0,0,3,7,
"Jan 09, 2015 - ORL @ LAL",L,35:24:00,15,6,16,37.5,1,3,33.3,2,2,100,0,4,4,3,1,1,2,1,-13,
"Jan 07, 2015 - ORL @ DEN",L,32:32:00,12,5,13,38.5,2,3,66.7,0,1,0,1,5,6,1,1,2,4,2,7,
"Jan 03, 2015 - ORL vs. CHA",L,39:57:00,18,8,15,53.3,0,2,0,2,3,66.7,5,6,11,0,1,1,1,4,-3,
"Jan 02, 2015 - ORL vs. BKN",L,31:13:00,12,4,10,40,2,3,66.7,2,2,100,0,3,3,0,3,1,1,1,-21,
"Dec 30, 2014 - ORL vs. DET",L,31:04:00,15,6,11,54.5,1,2,50,2,3,66.7,0,8,8,2,1,0,0,1,-11,
"Dec 29, 2014 - ORL @ MIA",W,35:40:00,18,8,14,57.1,2,4,50,0,0,0,0,4,4,1,0,0,2,3,4,
"Dec 27, 2014 - ORL @ CHA",W,34:22:00,21,7,16,43.8,2,4,50,5,8,62.5,1,5,6,3,2,2,1,2,2,
"Dec 26, 2014 - ORL vs. CLE",L,37:35:00,16,7,16,43.8,2,6,33.3,0,0,0,0,4,4,1,1,1,4,2,-5,
"Dec 23, 2014 - ORL vs. BOS",W,32:46:00,19,7,13,53.8,3,4,75,2,4,50,0,4,4,4,0,1,1,1,4,
"Dec 21, 2014 - ORL vs. PHI",L,38:07:00,17,7,21,33.3,2,7,28.6,1,1,100,2,2,4,4,2,0,2,2,13,
"Dec 19, 2014 - ORL vs. UTA",L,35:07:00,24,10,18,55.6,3,5,60,1,1,100,2,2,4,3,1,0,2,1,-13,
"Dec 17, 2014 - ORL @ BOS",L,35:13:00,17,5,9,55.6,0,2,0,7,8,87.5,0,4,4,2,3,0,3,3,-13,
"Dec 15, 2014 - ORL @ TOR",L,35:53:00,18,8,15,53.3,0,2,0,2,2,100,0,6,6,3,0,1,3,2,-11,
"Dec 13, 2014 - ORL vs. ATL",W,39:12:00,20,7,16,43.8,0,3,0,6,10,60,4,2,6,5,0,3,3,3,-1,
"Dec 12, 2014 - ORL @ ATL",L,33:53:00,13,4,14,28.6,1,6,16.7,4,4,100,1,10,11,3,0,1,3,5,9,
"Dec 10, 2014 - ORL vs. WAS",L,35:36:00,15,7,11,63.6,1,2,50,0,1,0,1,5,6,0,1,0,2,2,-3,
"Dec 06, 2014 - ORL @ SAC",W,38:55:00,27,10,17,58.8,4,5,80,3,4,75,0,4,4,1,0,0,0,2,6,
"Dec 05, 2014 - ORL @ UTA",W,34:05:00,22,7,18,38.9,2,6,33.3,6,7,85.7,1,6,7,3,0,0,0,1,9,
"Dec 03, 2014 - ORL @ LAC",L,24:45:00,16,7,11,63.6,2,3,66.7,0,1,0,0,8,8,0,2,0,1,3,-28,
