By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,TOR,28,34.1,3.6,2.0,5.1,12.5,13.9,11.4,11.5,35.9,0.4,1.5,2.4,4.6,RJ Barrett,28
2023-24,TOT,58,31.7,3.0,1.7,4.1,11.5,10.7,9.8,10.6,35.1,0.4,1.6,2.2,3.6,RJ Barrett,28
2023-24,TOR,32,33.5,2.8,1.8,4.5,13.9,11,10.3,10.5,38,0.4,1.5,2.6,3.8,RJ Barrett,28
2023-24,NYK,26,29.5,3.2,1.5,3.5,8.5,10.3,9.3,10.8,31.6,0.3,1.6,1.7,3.3,RJ Barrett,28
2022-23,NYK,73,33.9,2.7,1.8,2.6,10.1,10.7,9.4,9.8,32.4,0.2,1.3,2.5,3.7,RJ Barrett,28
2021-22,NYK,70,34.5,2.8,1.6,3.1,9.2,11.4,8.7,8.9,32,0.2,1.5,2.0,4.1,RJ Barrett,28
2020-21,NYK,72,34.9,2.5,1.4,2.3,8.3,11,8.6,8,32.5,0.3,1.2,2.6,3.1,RJ Barrett,28
2019-20,NYK,56,30.4,2.4,1.0,1.9,7.4,10.6,8.7,8.6,27.9,0.3,1.1,2.2,3.5,RJ Barrett,28
