By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,player_name,player_id
2024-25,ATL,34,35.7,3.2,2.1,3.1,6.5,14.9,11.2,13.1,38.4,0.2,0.9,2.0,5.1,Trae Young,30
2023-24,ATL,54,36.0,3.6,1.4,2.3,7.5,12.2,11.6,13.6,43.3,0.2,1.0,2.0,6.4,Trae Young,30
2022-23,ATL,73,34.8,3.6,1.7,2.5,9.5,11.2,10.8,12.1,41.1,0.1,1.2,1.4,6.4,Trae Young,30
2021-22,ATL,76,34.9,4.0,1.9,2.2,8.9,11,9.4,9.1,35.6,0.1,1.2,1.7,5.9,Trae Young,30
2020-21,ATL,63,33.7,2.8,1.5,2.1,9.2,10.9,9.6,8.6,35.8,0.2,1.0,1.8,6.8,Trae Young,30
2019-20,ATL,60,35.3,3.9,1.8,3.1,9.8,14.6,11.3,11.4,41.9,0.1,1.3,1.7,7.7,Trae Young,30
2018-19,ATL,81,30.9,2.4,1.4,3.0,7.9,13.9,9.5,11.7,33.6,0.2,1.2,1.7,5.3,Trae Young,30
