By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,SAC,30,30.8,115.4,110.6,4.9,23.9,2.64,23.7,0.9,10.8,5.7,9.0,52.8,56.9,22.4,102.19,10.8,Malik Monk   ,72
2023-24,SAC,72,26.0,115.2,115.1,0.1,29.0,2.47,24.8,1.4,10.1,5.6,10.0,52.6,56.4,24.7,101.92,11.0,Malik Monk   ,72
2022-23,SAC,77,22.3,113.8,112.7,1.0,25.8,2.04,22.5,1.9,9.7,5.9,11.0,53.8,58.7,24.7,103.61,11.6,Malik Monk   ,72
2021-22,LAL,76,28.1,113.2,112.9,0.3,14.4,1.79,17.9,1.7,9.9,5.8,10.0,57.8,59.7,19.5,101.65,9.3,Malik Monk   ,72
2020-21,CHA,42,20.9,109.4,108.6,0.8,15.5,1.58,15.3,1.5,9.6,5.5,9.6,54.0,56.9,22.7,101.97,9.6,Malik Monk   ,72
2019-20,CHA,55,21.3,101.8,112.3,-10.5,16.8,1.48,15.8,2.1,10.8,6.3,10.7,49.4,53.0,22.0,98.93,9.1,Malik Monk   ,72
2018-19,CHA,73,17.2,108.4,111.1,-2.7,14.3,1.36,14.1,1.2,9.5,5.2,10.4,48.0,51.8,23.6,102.17,7.3,Malik Monk   ,72
2017-18,CHA,63,13.5,100.8,112.6,-11.8,17.8,1.86,15.6,0.8,6.9,3.7,8.4,45.8,47.7,24.1,101.57,6.3,Malik Monk   ,72
