By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,WAS,28,31.4,21.8,7.0,16.2,43.5,3.6,8.9,40.6,4.1,4.9,84.7,0.4,2.3,2.7,5.0,3.6,1.6,0.5,3.4,35.4,0,0,-8.5,Jordan Poole,35
2023-24,WAS,78,30.1,17.4,6.3,15.2,41.3,2.4,7.2,32.6,2.5,2.8,87.7,0.4,2.3,2.7,4.4,2.4,1.1,0.3,3.1,29.1,4,0,-7.1,Jordan Poole,35
2022-23,GSW,82,30.0,20.4,6.7,15.6,43.0,2.6,7.8,33.6,4.4,5.1,87.0,0.4,2.4,2.7,4.5,3.1,0.8,0.3,2.6,30.5,1,0,-0.1,Jordan Poole,35
2021-22,GSW,76,30.0,18.5,6.2,13.9,44.8,2.8,7.6,36.4,3.2,3.5,92.5,0.4,3.0,3.4,4.0,2.5,0.8,0.3,2.7,29.4,2,0,4.3,Jordan Poole,35
2020-21,GSW,51,19.4,12.0,4.0,9.3,43.2,1.9,5.4,35.1,2.1,2.3,88.2,0.3,1.5,1.8,1.9,1.0,0.5,0.2,1.7,18.1,0,0,0.6,Jordan Poole,35
2019-20,GSW,57,22.3,8.8,2.9,8.8,33.3,1.3,4.6,27.9,1.7,2.1,79.8,0.2,1.9,2.1,2.4,1.3,0.6,0.2,1.6,15.9,0,0,-3.5,Jordan Poole,35
