By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,POR,27,31.6,17.9,6.7,14.8,45.3,1.9,6.3,29.4,2.6,3.4,78.0,0.7,3.1,3.7,2.7,1.6,0.9,0.3,1.8,28.1,0,0,-5.1,Shaedon Sharpe,63
2023-24,POR,32,33.1,15.9,5.5,13.6,40.6,1.9,5.6,33.3,3.1,3.7,82.4,1.3,3.7,5.0,2.9,2.3,0.9,0.4,2.8,27.8,1,0,-7.7,Shaedon Sharpe,63
2022-23,POR,80,22.2,9.9,3.8,8.1,47.2,1.3,3.5,36.0,0.9,1.3,71.4,0.8,2.2,3.0,1.2,1.0,0.5,0.3,1.7,16.5,0,0,-3.7,Shaedon Sharpe,63
