By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,IND,37,35.1,18.4,6.2,14.2,43.8,3.0,8.5,35.8,2.9,3.4,85.0,0.7,3.0,3.7,8.8,1.8,1.2,0.6,1.4,39.8,13,0,1.1,Tyrese Haliburton,60
2023-24,IND,69,32.2,20.1,7.2,15.2,47.7,2.8,7.8,36.4,2.8,3.3,85.5,0.5,3.4,3.9,10.9,2.3,1.2,0.7,1.1,44.6,44,1,4.3,Tyrese Haliburton,60
2022-23,IND,56,33.6,20.7,7.4,15.0,49.0,2.9,7.2,40.0,3.1,3.6,87.1,0.6,3.1,3.7,10.4,2.5,1.6,0.4,1.2,44.5,32,0,-0.6,Tyrese Haliburton,60
2021-22,TOT,77,35.0,15.3,5.6,11.8,47.3,2.1,5.1,41.4,2.1,2.5,84.2,0.8,3.2,4.0,8.2,2.6,1.7,0.6,1.6,37.0,25,0,-4.2,Tyrese Haliburton,60
2021-22,IND,26,36.1,17.5,6.2,12.4,50.2,2.2,5.3,41.6,2.8,3.3,84.9,0.8,3.5,4.3,9.6,3.2,1.8,0.6,1.9,41.0,11,0,-3.9,Tyrese Haliburton,60
2021-22,SAC,51,34.4,14.3,5.3,11.5,45.7,2.0,4.9,41.3,1.7,2.0,83.7,0.8,3.1,3.9,7.4,2.3,1.7,0.7,1.4,34.9,14,0,-4.4,Tyrese Haliburton,60
2020-21,SAC,58,30.1,13.0,5.0,10.7,47.2,2.1,5.1,40.9,0.8,1.0,85.7,0.7,2.3,3.0,5.3,1.6,1.3,0.5,1.4,28.4,5,0,-3.1,Tyrese Haliburton,60
