By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,player_name,player_id
2024-25,CLE,34,31.3,23.3,8.2,18.0,45.7,3.8,9.3,41.3,3.0,3.6,81.5,0.5,3.9,4.4,4.6,2.1,1.5,0.2,1.9,38.6,2,0,8.1,Donovan Mitchell,26
2023-24,CLE,55,35.3,26.6,9.1,19.8,46.2,3.3,9.0,36.8,5.0,5.8,86.5,0.8,4.3,5.1,6.1,2.8,1.8,0.5,2.1,46.1,6,0,5.9,Donovan Mitchell,26
2022-23,CLE,68,35.8,28.3,10.0,20.6,48.4,3.6,9.3,38.6,4.7,5.4,86.7,0.9,3.3,4.3,4.4,2.6,1.5,0.4,2.5,42.9,5,0,5.0,Donovan Mitchell,26
2021-22,UTA,67,33.8,25.9,9.2,20.5,44.8,3.5,9.8,35.5,4.0,4.7,85.3,0.8,3.4,4.2,5.3,3.0,1.5,0.2,2.4,40.9,3,0,4.1,Donovan Mitchell,26
2020-21,UTA,53,33.4,26.4,9.0,20.6,43.8,3.4,8.7,38.6,5.0,6.0,84.5,0.9,3.5,4.4,5.2,2.8,1.0,0.3,2.2,40.6,2,0,5.4,Donovan Mitchell,26
2019-20,UTA,69,34.3,24.0,8.7,19.4,44.9,2.5,6.9,36.6,4.0,4.7,86.3,0.8,3.6,4.4,4.3,2.7,1.0,0.2,2.5,36.6,1,0,1.6,Donovan Mitchell,26
2018-19,UTA,77,33.7,23.8,8.6,19.9,43.2,2.4,6.7,36.2,4.1,5.1,80.6,0.8,3.3,4.1,4.2,2.8,1.4,0.4,2.7,37.5,1,0,4.8,Donovan Mitchell,26
2017-18,UTA,79,33.4,20.5,7.5,17.2,43.7,2.4,7.0,34.0,3.0,3.8,80.5,0.7,3.1,3.7,3.7,2.7,1.5,0.3,2.7,33.3,0,0,4.5,Donovan Mitchell,26
