iter	RMSE
0	2.670952238
1	2.650697753
2	2.630214616
3	2.609888637
4	2.589797149
5	2.56957951
6	2.549331778
7	2.52930181
8	2.510848014
9	2.491571694
10	2.472613314
11	2.453056602
12	2.434788563
13	2.415656597
14	2.397706924
15	2.379291808
16	2.360727936
17	2.343733091
18	2.325945114
19	2.308200113
20	2.291494433
21	2.274580041
22	2.258578484
23	2.241495671
24	2.224223968
25	2.207318102
26	2.190788194
27	2.174025751
28	2.157801808
29	2.142706896
30	2.125999277
31	2.109861704
32	2.09408936
33	2.078837942
34	2.064609637
35	2.049309528
36	2.034915891
37	2.019407545
38	2.004764569
39	1.989528864
40	1.975464628
41	1.961034065
42	1.946781981
43	1.933280745
44	1.919112361
45	1.905506923
46	1.891769494
47	1.878896156
48	1.865138841
49	1.852044831
50	1.838766017
51	1.825712643
52	1.813309045
53	1.800657118
54	1.788120813
55	1.775365257
56	1.762576374
57	1.75026804
58	1.737543145
59	1.725444425
60	1.713778156
61	1.702233972
62	1.690506157
63	1.679194252
64	1.667779011
65	1.656277521
66	1.645412758
67	1.634405121
68	1.623095641
69	1.612614836
70	1.601973348
71	1.590294553
72	1.578723149
73	1.567673563
74	1.557705468
75	1.546598512
76	1.536602215
77	1.526721077
78	1.51618816
79	1.506007185
80	1.495982315
81	1.486393084
82	1.476383199
83	1.466883924
84	1.457163566
85	1.448159028
86	1.438611096
87	1.428957795
88	1.418926195
89	1.41037564
90	1.401256965
91	1.392905408
92	1.384069117
93	1.375891764
94	1.366739751
95	1.358329015
96	1.349896695
97	1.340937208
98	1.331797283
99	1.323071857
100	1.314834752
101	1.307029038
102	1.298902815
103	1.290762358
104	1.28264994
105	1.274828677
106	1.266965775
107	1.258640782
108	1.25088236
109	1.242735984
110	1.234720302
111	1.226543381
112	1.219570313
113	1.212748964
114	1.205837062
115	1.198360571
116	1.190765313
117	1.183025582
118	1.17597023
119	1.169133377
120	1.162669879
121	1.15620331
122	1.149390511
123	1.142904266
124	1.136843843
125	1.130305637
126	1.123664032
127	1.116792783
128	1.110662678
129	1.103859182
130	1.0980017
131	1.091805147
132	1.085249486
133	1.07998267
134	1.074264661
135	1.06806786
136	1.062279291
137	1.055904898
138	1.05070625
139	1.044555924
140	1.038601374
141	1.032400503
142	1.026676334
143	1.021024009
144	1.015126505
145	1.009973002
146	1.004781992
147	0.9993912348
148	0.993914637
149	0.9893482719
150	0.9836316342
151	0.9782788604
152	0.9734779482
153	0.9686945064
154	0.9637640631
155	0.9591422457
156	0.9543443625
157	0.9492291491
158	0.9444359634
159	0.9393521098
160	0.9346864627
161	0.9302583233
162	0.9259070063
163	0.9212270665
164	0.9166966825
165	0.9125102653
166	0.908280397
167	0.9042688672
168	0.8993952497
169	0.8947244345
170	0.890312335
171	0.886353581
172	0.8818206821
173	0.8776004191
174	0.8733087914
175	0.8695987403
176	0.8653651467
177	0.8613350471
178	0.8575851264
179	0.8535363504
180	0.8496759455
181	0.8458762898
182	0.8417568352
183	0.8382982506
184	0.8349184301
185	0.831127078
186	0.8272721686
187	0.8238953576
188	0.8202320705
189	0.8168392666
190	0.8132571855
191	0.8098379475
192	0.8063271786
193	0.8029102694
194	0.799468744
195	0.7964353194
196	0.7928267211
197	0.7895636941
198	0.786019546
199	0.7824376453
200	0.7791206028
201	0.7760130693
202	0.7730676161
203	0.7704477103
204	0.7675062387
205	0.7644079833
206	0.7612813068
207	0.7579480485
208	0.755168444
209	0.7522557354
210	0.7494217643
211	0.7462513495
212	0.7433069499
213	0.7401660304
214	0.7370249834
215	0.734467885
216	0.7315589729
217	0.7287879757
218	0.7257037466
219	0.7229882147
220	0.720328772
221	0.7177627201
222	0.7151395752
223	0.7126891025
224	0.7101560165
225	0.7076974088
226	0.7053240276
227	0.7027775855
228	0.7003200365
229	0.6976126116
230	0.6949502747
231	0.6927498522
232	0.6904470982
233	0.6879541427
234	0.6855799886
235	0.6834570715
236	0.6809494934
237	0.6788578135
238	0.6767549763
239	0.6743045899
240	0.6721484237
241	0.670335825
242	0.6681790536
243	0.6658189287
244	0.6635984215
245	0.6615294124
246	0.659231742
247	0.6572160743
248	0.6552998912
249	0.6531433375
250	0.6509323225
251	0.6489944014
252	0.6468110421
253	0.6445346813
254	0.6425315486
255	0.6406336386
256	0.6384576876
257	0.6363371463
258	0.6344659248
259	0.6323977233
260	0.6305177879
261	0.6286157032
262	0.626899606
263	0.625123505
264	0.623071782
265	0.6211730527
266	0.61931682
267	0.6173916642
268	0.6157706868
269	0.6138355139
270	0.612247668
271	0.6105923498
272	0.6090125164
273	0.6073493783
274	0.6055611298
275	0.6040158092
276	0.6021035555
277	0.6003835105
278	0.5986369372
279	0.5971570405
280	0.5956934621
281	0.5940499852
282	0.592392244
283	0.5910673529
284	0.5896335685
285	0.5883838624
286	0.5869156776
287	0.5853302876
288	0.58376467
289	0.5821465701
290	0.5806518369
291	0.5791559919
292	0.5775868998
293	0.5760724707
294	0.5746434771
295	0.5734683391
296	0.57206736
297	0.5706443198
298	0.5694461191
299	0.5681335583
300	0.5667757417
301	0.5657651407
302	0.564392353
303	0.5630626677
304	0.5615413348
305	0.5601020932
306	0.5588763791
307	0.5576443721
308	0.5563193993
309	0.5551708194
310	0.5537819799
311	0.5524492731
312	0.5509806436
313	0.5497085261
314	0.5484350918
315	0.5471836422
316	0.5459280339
317	0.5446710004
318	0.5435715394
319	0.5424474775
320	0.5412276244
321	0.5400511402
322	0.5388658429
323	0.5377349037
324	0.5365785513
325	0.5355152288
326	0.5343745901
327	0.5332958283
328	0.5321536978
329	0.5312428496
330	0.5303498949
331	0.5292852152
332	0.528153166
333	0.5270658969
334	0.5259715281
335	0.5250896977
336	0.5240721298
337	0.522988442
338	0.5218479054
339	0.5208799411
340	0.5198172082
341	0.5188329499
342	0.5177577297
343	0.516700288
344	0.5154980142
345	0.5146510121
346	0.5137888463
347	0.5128150782
348	0.5117696682
349	0.5107206642
350	0.5096868587
351	0.5088183981
352	0.507934297
353	0.5068333333
354	0.5060463445
355	0.5050817078
356	0.5038905533
357	0.5028889634
358	0.5019657956
359	0.5010443739
360	0.5001356994
361	0.499077621
362	0.4981629748
363	0.4972491287
364	0.4961699089
365	0.4952568298
366	0.4944591608
367	0.4935474727
368	0.4924192986
369	0.4915938761
370	0.4907546041
371	0.48993898
372	0.4891449182
373	0.4883438604
374	0.4875861965
375	0.4868351309
376	0.4859573795
377	0.4851158478
378	0.4843317237
379	0.4833678263
380	0.4824185804
381	0.4814390356
382	0.4807614081
383	0.479992706
384	0.4791787419
385	0.4783230266
386	0.4773623277
387	0.4767140278
388	0.4760668428
389	0.4752096836
390	0.4744762366
391	0.4736094743
392	0.4727826649
393	0.4718402146
394	0.4710784165
395	0.4703566231
396	0.4694439093
397	0.4687646197
398	0.4681130843
399	0.4672993696
400	0.4666618236
401	0.4659625358
402	0.4653734906
403	0.4646310072
404	0.4638361109
405	0.4631539841
406	0.4622927491
407	0.4617431945
408	0.4611279161
409	0.4606435759
410	0.460083367
411	0.4594955122
412	0.4588202514
413	0.4582391202
414	0.4575227441
415	0.4569424948
416	0.456336619
417	0.4557322078
418	0.4552034273
419	0.4545577802
420	0.4540987443
421	0.4536514131
422	0.453204113
423	0.452579159
424	0.4520084684
425	0.4514744912
426	0.4508035246
427	0.4502924661
428	0.4496333064
429	0.4488246176
430	0.4480197882
431	0.4474002764
432	0.4469308602
433	0.4464811
434	0.4460159121
435	0.4453735912
436	0.4448533655
437	0.4443168947
438	0.4438201182
439	0.4433187788
440	0.4427979559
441	0.4422145696
442	0.4415585312
443	0.440993837
444	0.4402098381
445	0.4394175023
446	0.438880607
447	0.4384867593
448	0.43787438
449	0.4372297137
450	0.436840374
451	0.436290562
452	0.4357655236
453	0.4351975024
454	0.4347127507
455	0.4342136632
456	0.4334507705
457	0.4329118026
458	0.4322956495
459	0.4317078572
460	0.4310897643
461	0.4306992479
462	0.4300031508
463	0.4292534359
464	0.4287044794
465	0.4280765812
466	0.4276333412
467	0.4270261902
468	0.426474104
469	0.4259053933
470	0.4252208508
471	0.4246932771
472	0.4242256529
473	0.4234974208
474	0.4229972328
475	0.4225021506
476	0.4220214446
477	0.4214302192
478	0.4210153515
479	0.4204984074
480	0.4199670516
481	0.4195943222
482	0.4190064556
483	0.4182330033
484	0.4177397127
485	0.4173537158
486	0.4167371057
487	0.4162541392
488	0.4154520929
489	0.4148692771
490	0.4141105685
491	0.4134315794
492	0.4129885098
493	0.4124623655
494	0.4119814668
495	0.4114448667
496	0.4111408212
497	0.4106653153
498	0.4099922635
499	0.4093911705
99	0.3992762754
8
