By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,MEM,20,27.7,118.2,106.0,12.2,39.7,2.08,26.4,2.3,11.8,7.3,12.7,50.3,57.3,30.6,107.23,15.9,Ja Morant,38
2023-24,MEM,9,35.3,111.0,111.1,-0.2,38.4,2.7,24.5,1.9,13.4,7.7,9.1,51.2,57.0,29.6,101.08,15.7,Ja Morant,38
2022-23,MEM,61,31.9,115.8,108.5,7.3,41.2,2.39,23.2,2.9,13.9,8.4,9.7,50.4,55.7,33.8,102.51,17.5,Ja Morant,38
2021-22,MEM,57,33.1,115.3,111.2,4.1,33.0,1.96,19.8,3.7,12.4,8.0,10.1,53.0,57.5,33.0,101.46,16.3,Ja Morant,38
2020-21,MEM,63,32.6,114.7,112.1,2.6,32.1,2.29,25.9,2.7,9.1,5.9,11.3,48.7,53.7,26.7,102.16,11.3,Ja Morant,38
2019-20,MEM,67,31.0,107.5,108.1,-0.6,35.4,2.22,27.4,2.4,9.0,5.9,12.3,50.9,55.6,25.6,103.79,13.0,Ja Morant,38
