By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,ATL,34,35.7,114.5,113.0,1.4,45.8,2.73,33.0,1.4,8.0,4.6,12.1,48.8,56.4,26.7,106.23,13.0,Trae Young,30
2023-24,ATL,54,36.0,116.6,119.1,-2.5,43.5,2.48,29.2,1.1,6.5,3.7,11.8,51.6,58.5,28.9,104.95,13.1,Trae Young,30
2022-23,ATL,73,34.8,115.9,114.6,1.3,41.4,2.47,27.4,2.1,6.2,4.2,11.1,48.5,57.3,31.3,104.39,14.3,Trae Young,30
2021-22,ATL,76,34.9,117.2,114.9,2.3,44.2,2.43,26.1,1.9,8.7,5.3,10.7,53.6,60.3,33.3,100.2,16.1,Trae Young,30
2020-21,ATL,63,33.7,118.2,113.0,5.2,42.6,2.28,26.9,1.8,9.4,5.7,11.8,49.9,58.9,32.0,100.5,15.0,Trae Young,30
2019-20,ATL,60,35.3,111.2,116.1,-4.9,42.3,1.94,24.1,1.4,10.0,5.7,12.4,51.9,59.5,33.9,105.18,16.0,Trae Young,30
2018-19,ATL,81,30.9,108.5,114.8,-6.3,39.0,2.12,27.3,2.4,9.1,5.7,12.9,48.0,53.9,27.7,105.78,11.9,Trae Young,30
