By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,UTA,28,31.9,110.8,118.3,-7.5,9.7,1.38,10.1,5.4,13.8,9.6,7.3,52.9,59.4,22.5,101.15,11.5,Lauri Markkanen,53
2023-24,UTA,55,33.1,117.6,116.9,0.6,9.0,1.43,9.2,6.5,17.6,12.1,6.4,57.8,63.1,24.1,102.49,13.6,Lauri Markkanen,53
2022-23,UTA,66,34.4,117.4,113.6,3.8,8.6,0.97,7.9,5.5,18.3,12.0,8.2,58.7,64.1,25.9,101.06,15.4,Lauri Markkanen,53
2021-22,CLE,61,30.8,113.9,109.9,3.9,6.2,1.5,8.9,3.3,14.7,9.2,5.9,54.2,58.2,19.2,97.7,9.7,Lauri Markkanen,53
2020-21,CHI,51,25.8,107.1,109.9,-2.8,5.1,0.87,6.9,2.7,17.3,10.1,7.9,59.4,61.9,19.7,100.78,11.0,Lauri Markkanen,53
2019-20,CHI,50,29.8,105.3,107.3,-2.0,7.7,0.91,9.1,3.8,17.4,10.4,10.0,51.7,56.0,20.9,101.72,10.3,Lauri Markkanen,53
2018-19,CHI,52,32.3,106.8,112.3,-5.5,7.0,0.88,7.3,4.3,23.4,13.8,8.2,50.6,55.3,24.5,99.33,12.5,Lauri Markkanen,53
2017-18,CHI,68,29.7,101.5,110.5,-9.0,6.4,0.95,7.3,3.7,21.7,12.3,7.6,51.8,55.2,21.5,99.49,11.4,Lauri Markkanen,53
