By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,SAS,21,28.8,106.0,115.7,-9.7,17.7,1.91,16.4,2.8,8.2,5.5,8.6,51.3,53.9,22.9,100.54,9.6,Devin Vassell,86
2023-24,SAS,68,33.1,108.5,114.6,-6.0,19.2,2.56,18.3,1.2,10.2,5.6,7.1,55.0,57.8,22.9,102.42,11.2,Devin Vassell,86
2022-23,SAS,38,31.0,107.1,118.8,-11.7,17.3,2.39,16.5,0.6,12.5,6.2,6.9,52.5,55.0,24.0,103.67,10.8,Devin Vassell,86
2021-22,SAS,71,27.3,111.2,110.2,1.0,9.6,2.34,13.6,2.1,12.8,7.4,5.8,51.6,54.0,18.4,102.5,8.7,Devin Vassell,86
2020-21,SAS,62,17.0,106.5,108.9,-2.4,7.1,2.55,14.0,2.1,13.8,7.9,5.5,49.2,52.4,13.8,102.37,7.1,Devin Vassell,86
