By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,DEN,28,36.7,64.5,35.5,50.5,18,32.6,19,16.9,16.9,32.4,33.6,66.4,74.6,25.4,45.9,54.1,Jamal Murray,52
2023-24,DEN,59,31.5,65.4,34.6,52.6,19,34.8,10.2,12.6,14.1,33.6,33.7,66.3,60,40,41.8,58.2,Jamal Murray,52
2022-23,DEN,65,32.8,58.5,41.5,46.4,14.6,39.8,9.4,13.8,14,31.7,32.9,67.1,60.5,39.5,42.9,57.1,Jamal Murray,52
2020-21,DEN,48,35.5,60.1,39.9,48.9,18.1,38,12.6,13.1,20.7,30.8,33.3,66.7,58.1,41.9,41.8,58.2,Jamal Murray,52
2019-20,DEN,59,32.3,63.8,36.2,54.3,19.2,30.8,9.5,14.9,15,35,47,53,67,33,52.5,47.5,Jamal Murray,52
2018-19,DEN,75,32.6,64.7,35.3,52.8,16.7,33.4,11.4,13.8,11.9,36.1,52.6,47.4,68.4,31.6,57.3,42.7,Jamal Murray,52
2017-18,DEN,81,31.7,58.9,41.1,46.4,12,36.6,13.1,17,15.3,34.5,39.8,60.2,77,23,52.6,47.4,Jamal Murray,52
2016-17,DEN,82,21.5,52.9,47.1,44.4,11.6,42.5,11,13.1,13.1,32.8,48.3,51.7,71.3,28.7,57.3,42.7,Jamal Murray,52
