By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,NOP,20,33.7,67.1,32.9,59,13,24.2,18.3,16.8,18.9,46,27.4,72.6,65.4,34.6,35.5,64.5,Dejounte Murray,81
2023-24,ATL,78,35.7,62.1,37.9,53.7,14.6,34.4,11.8,11.9,13.4,39.1,26.1,73.9,70.6,29.4,39.4,60.6,Dejounte Murray,81
2022-23,ATL,74,36.4,70.7,29.3,63.2,22,26.3,11.7,10.5,15,41.2,19.4,80.6,72.9,27.1,31,69,Dejounte Murray,81
2021-22,SAS,68,34.8,76.3,23.7,66.3,18.6,20,13.7,13.7,15,47.7,18.9,81.1,69.8,30.2,27.4,72.6,Dejounte Murray,81
2020-21,SAS,67,31.9,79.6,20.4,71.9,26.1,18,15.6,10.1,14.9,45.9,27.5,72.5,85.7,14.3,35.8,64.2,Dejounte Murray,81
2019-20,SAS,66,25.6,82.6,17.4,70.3,24.4,17.1,19.2,12.6,17.2,45.8,28.1,71.9,97.6,2.4,37.8,62.2,Dejounte Murray,81
2017-18,SAS,81,21.5,94.4,5.6,79.8,14.7,4.1,19.1,16.1,18.3,65.1,32.6,67.4,100,0,34.8,65.2,Dejounte Murray,81
2016-17,SAS,38,8.5,80.2,19.8,63.1,3.1,20.8,16.9,16.1,20,60,41.5,58.5,88.9,11.1,50,50,Dejounte Murray,81
