Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2018-19,MIA,82,23.3,96.9,3.1,76,4.4,1.2,10,22.8,17.4,71.6,70,30,66.7,33.3,70,30,,,,,,,,,,,
2017-18,MIA,69,19.8,97.9,2.1,73,4.6,0,7.8,27,12.2,68.3,70.1,29.9,0,0,70.1,29.9,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,MIA,35,1204,22.5,22.5,22.2,7,9.5,26.8,28.8,35.6,31.5,32.4,25,23.7,23.6,37.7,18.5,17.3,31.3,21.1,,,,,,,,
2023-24,MIA,71,2416,24.7,26.8,23.8,2.6,2.6,33.3,35.7,35.9,34.9,35.1,22.2,26.3,20,37.3,21.1,19.1,36.6,25.3,,,,,,,,
2022-23,MIA,75,2598,25.1,27.9,24.4,0.2,0.7,32,32.9,37.7,29.6,31.4,18.3,26.8,20.5,40.1,24,21.6,33.2,25.7,,,,,,,,
2021-22,MIA,56,1825,24.8,26.9,23.2,0,0.5,37.4,40.3,41.6,32.4,34.2,19.5,27.1,27,41.5,28.2,21.6,37.1,25.6,,,,,,,,
2020-21,MIA,64,2143,23.3,26.1,21.7,0.4,0.5,38.2,39,43.6,29.2,31.8,28.8,27.4,21.4,38.2,22.3,17.7,38.2,24.9,,,,,,,,
2019-20,MIA,72,2417,21.2,22.1,19,0.3,0.9,27.3,30.7,44.7,31,33.5,27.8,28.8,23.1,41.5,28.4,19.1,30.1,20.5,,,,,,,,
2018-19,MIA,82,1913,15.7,18.2,14.3,0.6,1.1,26.6,26.1,42.1,31.8,34.1,18.6,20.9,20.8,34.2,18.6,24.2,28.4,17.5,,,,,,,,
2017-18,MIA,69,1368,15.7,16.5,14.4,0,0.8,33.9,34.7,46.1,27,31,16.4,16.3,15.9,26.8,22.3,25.2,31.4,17.1,,,,,,,,
