By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,player_name,player_id
2024-25,DET,30,29.9,62.7,37.3,48.1,5.3,35.8,16.7,16.1,13.4,42.8,42.5,57.5,74.6,25.4,53.2,46.8,Jaden Ivey,68
2023-24,DET,77,28.8,62.1,37.9,49.5,6.1,31.4,20,19.1,12.5,43.4,42.3,57.7,89.5,10.5,56.4,43.6,Jaden Ivey,68
2022-23,DET,74,31.1,64.4,35.6,48,10.5,29.9,13.1,22.1,12.3,37.5,24.6,75.4,73.3,26.7,38.9,61.1,Jaden Ivey,68
