By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,TOR,6,163,26.8,21.3,28.8,31.4,37.4,34.0,26.4,3.2,13.5,11.1,44.1,22.7,20.0,0.0,43.5,20.3,28.1,24.1,Immanuel Quickley,94
2023-24,TOT,68,1985,23.3,22.3,24.3,34.3,31.4,28.8,25.8,3.9,17.8,14.5,30.5,19.1,16.1,5.5,19.7,15.5,24.0,24.6,Immanuel Quickley,94
2023-24,TOR,38,1265,23.1,21.2,23.7,33.6,30.7,30.3,27.2,4.7,19.9,16.5,34.9,20.7,16.6,5.3,21.6,15.9,26.2,23.8,Immanuel Quickley,94
2023-24,NYK,30,720,23.6,24.2,25.4,35.4,32.8,26.7,23.7,2.8,14.3,11.3,21.1,16.2,15.2,6.1,16.0,14.7,20.7,25.8,Immanuel Quickley,94
2022-23,NYK,81,2344,20.3,21.1,21.9,29.4,26.7,21.5,20.0,9.4,16.6,14.7,26.5,15.6,24.9,6.5,13.3,16.9,17.8,22.0,Immanuel Quickley,94
2021-22,NYK,78,1802,21.7,20.1,23.0,27.8,29.1,24.4,20.8,7.4,16.5,14.3,32.9,21.3,19.5,1.8,18.5,20.4,20.2,21.8,Immanuel Quickley,94
2020-21,NYK,64,1243,24.6,22.9,26.4,36.3,35.4,32.2,30.1,10.2,12.6,12.1,24.6,17.7,16.0,8.8,20.7,21.0,26.4,26.0,Immanuel Quickley,94
