By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,MEM,35,1016,28.3,29.9,29.0,24.0,23.6,35.3,35.3,18.6,21.6,20.8,11.4,23.7,27.1,40.4,35.3,26.1,34.9,30.2,Jaren Jackson Jr.,32
2023-24,MEM,66,2124,30.2,30.8,30.2,20.0,21.6,43.6,41.9,20.2,20.1,20.1,14.4,25.6,22.2,37.1,39.7,27.6,43.2,31.5,Jaren Jackson Jr.,32
2022-23,MEM,63,1788,24.3,25.0,24.0,22.1,22.5,34.8,32.8,24.1,23.8,23.9,6.0,22.2,20.0,67.0,33.0,28.5,32.2,26.2,Jaren Jackson Jr.,32
2021-22,MEM,78,2126,24.8,22.5,24.7,24.1,26.9,35.9,33.6,19.4,21.2,20.7,7.6,23.9,17.0,54.5,33.4,29.9,30.5,24.7,Jaren Jackson Jr.,32
2020-21,MEM,11,258,25.2,24.5,25.9,36.2,34.3,33.3,30.4,27.0,24.7,25.3,9.0,21.4,35.3,39.1,25.0,35.0,32.7,27.1,Jaren Jackson Jr.,32
2019-20,MEM,57,1622,23.8,24.8,24.8,36.3,32.7,24.5,25.5,18.0,17.2,17.3,8.6,19.1,15.6,46.7,35.2,30.1,26.7,25.9,Jaren Jackson Jr.,32
2018-19,MEM,58,1515,23.1,25.6,22.8,17.8,17.3,33.0,32.5,30.7,19.5,21.6,8.7,22.5,19.9,42.1,27.0,31.6,32.0,26.0,Jaren Jackson Jr.,32
