By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,TOR,23,786,26.1,27.1,26.0,19.1,22.6,28.0,29.0,19.7,27.0,25.1,33.3,31.6,24.6,20.5,13.5,14.5,27.0,26.4,Scottie Barnes,45
2023-24,TOR,60,2094,24.0,23.7,23.9,20.0,20.9,28.1,27.1,28.8,25.1,26.1,28.2,28.8,22.8,38.1,19.8,15.2,27.5,24.0,Scottie Barnes,45
2022-23,TOR,77,2678,20.0,19.6,20.1,10.5,13.0,19.3,19.5,26.0,20.1,21.8,27.1,24.5,15.9,21.5,18.6,16.1,19.8,18.6,Scottie Barnes,45
2021-22,TOR,74,2617,18.7,21.2,19.0,9.1,10.7,18.8,19.3,27.0,21.1,22.9,21.4,20.5,16.7,22.5,14.1,18.5,21.0,19.5,Scottie Barnes,45
