By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,PHI,11,323,35.8,33.9,33.8,17.6,18.5,60.7,59.1,37.5,27.8,29.6,26.4,36.0,12.3,30.6,26.1,22.3,48.1,37.3,Joel Embiid,25
2023-24,PHI,39,1309,38.7,39.3,35.8,16.8,16.0,58.4,56.7,35.4,35.5,35.5,29.6,46.6,20.3,43.7,35.4,22.0,52.4,41.1,Joel Embiid,25
2022-23,PHI,66,2284,37.0,38.2,34.9,11.2,13.5,58.9,58.7,32.7,35.7,35.2,22.1,35.7,19.2,52.1,44.6,23.2,52.4,39.5,Joel Embiid,25
2021-22,PHI,68,2296,37.5,35.6,34.3,16.9,17.5,60.7,61.4,45.3,39.4,40.4,24.7,39.6,22.4,40.4,42.7,21.8,58.0,38.7,Joel Embiid,25
2020-21,PHI,51,1585,35.2,33.2,32.6,15.4,16.6,61.2,58.0,41.4,36.0,37.0,18.1,35.2,16.3,37.1,32.8,21.6,52.7,37.0,Joel Embiid,25
2019-20,PHI,51,1506,31.5,30.9,29.9,18.3,19.5,54.1,51.8,42.6,39.0,39.8,20.5,33.9,18.8,40.1,33.6,27.7,45.9,34.2,Joel Embiid,25
2018-19,PHI,64,2154,32.7,31.4,31.3,16.7,20.2,48.0,46.8,35.8,41.4,40.2,19.7,33.7,15.0,49.6,39.8,23.2,44.6,33.5,Joel Embiid,25
2017-18,PHI,63,1912,33.0,31.8,31.7,15.0,18.4,44.0,44.6,35.0,37.0,36.6,19.2,37.4,13.2,51.2,41.8,26.0,44.2,32.4,Joel Embiid,25
2016-17,PHI,31,786,35.6,34.5,32.8,21.3,20.3,53.2,54.3,40.4,31.9,33.7,17.1,39.9,21.6,63.9,44.4,31.7,53.7,37.1,Joel Embiid,25
