By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,player_name,player_id
2024-25,UTA,28,892,22.5,23.0,24.5,29.2,30.0,36.3,31.4,21.1,20.4,20.6,11.7,12.0,19.3,8.3,20.4,12.5,29.6,26.0,Lauri Markkanen,53
2023-24,UTA,55,1820,24.1,26.0,25.8,32.2,30.6,33.9,31.7,24.4,25.8,25.4,9.9,13.2,19.5,13.6,17.2,14.3,31.9,28.0,Lauri Markkanen,53
2022-23,UTA,66,2272,25.9,28.6,27.1,30.1,27.9,36.8,32.8,22.3,27.3,26.0,9.8,17.9,13.9,16.7,27.9,14.2,29.1,30.2,Lauri Markkanen,53
2021-22,CLE,61,1878,19.2,19.2,21.1,30.0,30.3,21.0,18.8,15.2,21.5,20.1,7.9,10.3,16.4,17.8,24.6,20.2,18.9,20.6,Lauri Markkanen,53
2020-21,CHI,51,1317,19.7,22.2,21.7,33.6,30.2,20.3,19.7,14.5,24.1,22.1,6.0,12.3,14.9,14.7,19.4,15.0,18.9,23.3,Lauri Markkanen,53
2019-20,CHI,50,1492,20.9,20.8,21.8,28.8,28.9,23.7,22.5,20.1,25.2,24.1,10.2,17.3,14.1,18.3,20.7,14.5,20.0,22.2,Lauri Markkanen,53
2018-19,CHI,52,1682,24.5,24.2,25.9,37.2,37.1,29.9,28.0,22.0,33.3,30.8,9.6,17.7,15.0,21.6,23.0,16.8,25.3,26.2,Lauri Markkanen,53
2017-18,CHI,68,2020,21.5,23.3,23.4,32.0,32.2,24.3,22.4,20.5,28.8,27.1,7.9,13.5,12.7,25.5,24.4,13.2,27.7,24.3,Lauri Markkanen,53
